task_identifier,task_app,task_app_CHN,adb_home_page,functional_point,difficulty_level,golden_steps,goal,key_nodes
neteasemusic_18,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,发现,easy,3,打开网易云笔记推荐,"{""xpath"": ['''//*[contains(@text, ""笔记"") and @selected=""true""]   and   //*[contains(@text, ""推荐"") and @selected=""true""]   and   //*[contains(@text, ""关注"") and @selected=""false""]  ''' ]}"
neteasemusic_19,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,笔记,hard,7,打开网易云发布笔记“逢考必过”,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""发布"") ] ) ]  and //*[contains(@text, ""逢考必过"")  and contains(@class, ""EditText"") ]  ''']}"
neteasemusic_20,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,笔记,hard,7,打开网易云，删除我之前发布的笔记,"{""xpath"": [''' //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ]  and //*[contains(@text, ""删除此动态"") ]  ''']}"
neteasemusic_21,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,打开网易云编辑我的资料，设置性别为女,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and   //*[contains(@text, ""性别"") ]  and   //*[contains(@text, ""女"") ] ''' ]}"
neteasemusic_22,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,打开网易云编辑我的资料，设置简介为“事已至此，先睡觉吧”,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and  //*[contains(@text, ""简介"")]  and   //*[contains(@text, ""事已至此，先睡觉吧"") ]   ''' ]}"
neteasemusic_23,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,easy,4,打开网易云我喜欢的音乐,"{""xpath"": ['''//*[contains(@text, ""我喜欢的音乐"") and contains(@class, ""TextView"") ] and //*[contains(@text, ""播放全部"") and contains(@class, ""TextView"")] ''' ]}"
neteasemusic_24,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,easy,4,打开网易云我的听歌排行,"{""xpath"": ['''//*[contains(@text, ""听歌排行"") ]   and   //*[contains(@text, ""最近一周"") ]  and   //*[contains(@text, ""所有时间"") ] ''' ]}"
neteasemusic_25,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,easy,4,打开网易云查看我的本地音乐,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""本地"") ] ) ]   ''']}"
neteasemusic_26,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,在网易云音乐中把我的状态设置为许个愿,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""许个愿"") ] ) ]  and //*[contains(@text, ""选择状态"")]  and //*[contains(@text, ""完成"")] ''']}"
neteasemusic_27,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,打开网易云查看提到我的消息,"{""xpath"": ['''//*[contains(@resource-id, ""atme"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""提到我"") ] ) ]   ''']}###{""xpath"": [''' //*[contains(@text, ""评论和@提及"") and contains(@resource-id, ""user_name"")   and (bbox_contains_point(../@bounds,$point) )] ''']}"
neteasemusic_28,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,7,打开网易云深色模式,"{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""开启""])]  and  //*[contains(@text, ""播放页常亮"") ] ''' ]}"
neteasemusic_29,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,medium,5,打开网易云音乐的客服,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""我的客服"") ] ) ]   ''']}"
articlenews_0,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,easy,5,今日头条上搜一下黄金今日的价格,"{""xpath"": ['''//*[contains(@text, ""金"") and contains(@text, ""搜索"") and contains(@text, ""价"")] ''']}"
articlenews_1,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,easy,5,去今日头条看看哪吒现在多少票房了,"{""xpath"": ['''//*[contains(@text, ""哪吒"") and contains(@text, ""搜索"") and contains(@text, ""票房"")] ''']}"
articlenews_2,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,easy,5,在今日头条上搜一下今天北京的穿衣指数,"{""xpath"": ['''//*[contains(@text, ""北京"") and contains(@text, ""搜索"") and contains(@text, ""穿衣指数"")] ''']}"
articlenews_3,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,easy,5,去今日头条清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} "
articlenews_4,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,hard,7,在今日头条上搜一下今天五粮液的股价,"{""xpath"": ['''//*[contains(@text, ""五粮液"") and contains(@text, ""搜索"") and contains(@text, ""股价"")] ''']}"
articlenews_5,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,easy,4,查看今日头条热榜第一条新闻,"{""xpath"": ['''//*[contains(@content-desc, ""热榜"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' ]}"
articlenews_6,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,hard,10,查看今日头条小说频道完结榜第一本书,"{""xpath"": [ '''//*[contains(@text, ""完结榜"") and contains(@text, ""已勾选"")] or //*[contains(@text, ""完结榜"") and bbox_contains_point(@bounds,$point) ] and //*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point)] ''' ]}"
articlenews_7,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,hard,7,查看今日头条图片频道第一条新闻并点赞,"{""xpath"": ['''//*[contains(@content-desc, ""图片"") and @selected=""true""] ''' ,''' //*[contains(@content-desc, ""赞"") and contains(@class, ""Button"") and bbox_contains_point(@bounds,$point) ]  ''' ]}"
articlenews_8,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,hard,7,查看今日头条健康频道第一条新闻并收藏,"{""xpath"": ['''//*[contains(@content-desc, ""健康"") and @selected=""true""] ''' ,''' //*[contains(@content-desc, ""收藏"") and contains(@class, ""Button"") and bbox_contains_point(@bounds,$point) ]  ''' ]}"
articlenews_9,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,hard,7,去关注今日头条体育频道第一条新闻的作者,"{""xpath"": ['''//*[contains(@content-desc, ""体育"") and @selected=""true""] ''' ,''' //*[contains(@content-desc, ""已关注"") and contains(@class, ""Button"") ]  ''' ]}"
articlenews_10,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,easy,4,打开一下今日头条的浏览历史,"{""xpath"": ['''//*[contains(@text, ""浏览"") ] and  //*[contains(@text, ""推送"") ] and //*[contains(@text, ""评论"") ] ''' ]}"
articlenews_11,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,easy,5,查查今日头条里我的收藏有哪些,"{""xpath"": ['''//*[contains(@text, ""收藏"") and contains(@class, ""android.widget.Button"") and bbox_contains_point(@bounds,$point)] ''']}"
articlenews_12,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,hard,8,去今日头条更换头像，从默认头像的艺术类中选一个,"{""xpath"": ['''//*[contains(@text,""选择默认头像"")] and //*[contains(@text, ""艺术"")]    and  //*[contains(@text, ""选取"") and bbox_contains_point(@bounds,$point) ] ''' ]} "
articlenews_13,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,hard,8,去今日头条将我的性别设置为女,"{""xpath"": ['''//*[contains(@text, ""性别"")]  and //*[contains(@text, ""女"")] and  //*[contains(@text, ""编辑资料"") and contains(@resource-id, ""id/title"")] ''' ]}  "
