task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes
dwbtime_1,dwbtime,dwbtime_11.6.8.apk,亲宝宝,com.dw.btime/.Launcher,在亲宝宝中上传相册里的第一张照片,我的,hard,8,"{""xpath"": ['''//*[contains(@text, ""所在位置"")]  and //*[contains(@text, ""谁可以看"")]  and //*[contains(@text, ""记录时间"")] and //*[contains(@text, ""保存"") and bbox_contains_point(@bounds,$point) ] ''']}"
dwbtime_2,dwbtime,dwbtime_11.6.8.apk,亲宝宝,com.dw.btime/.Launcher,在亲宝宝中查看宝宝出生时卡介苗的接种状态,我的,medium,6,"{""xpath"": ['''//*[contains(@text, ""卡介苗"") and contains(@resource-id, ""id/name_tv"")] and //*[contains(@text, ""接种表"") and contains(@resource-id, ""id/title_bar_title"")] ''']}"
dwbtime_3,dwbtime,dwbtime_11.6.8.apk,亲宝宝,com.dw.btime/.Launcher,在亲宝宝中，查看纸尿裤类别中第一个商品的详情页,搜索,hard,9,"{""xpath"": ['''//*[contains(@text, ""纸尿裤"") and contains(@resource-id, ""id/tv_goods_title"")] and //*[contains(@text, ""立即购买"") and contains(@resource-id, ""id/tv_buy1"")] ''']}"
dwbtime_4,dwbtime,dwbtime_11.6.8.apk,亲宝宝,com.dw.btime/.Launcher,查看一下亲宝宝中最新的消息通知,消息,easy,5,"{""xpath"": ['''//*[contains(@text, ""消息"") and contains(@resource-id, ""id/title_bar_title"")] ''']}"
dongqiudi_0,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝查询世界杯赛程,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""世界杯赛程"") and contains(@resource-id, ""id/search_edit"")]''']}"
dongqiudi_1,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝查询曼联球队的动态,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""曼联"") and contains(@resource-id, ""id/team_name"")] and //*[contains(@text, ""动态"") and @selected=""true""]  ''']}"
dongqiudi_2,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝查询利物浦球队的具体赛程,搜索,medium,7,"{""xpath"": ['''//*[contains(@text, ""利物浦"") and contains(@resource-id, ""id/team_name"")] and //*[contains(@text, ""赛程"") and @selected=""true""]  ''']}###{""xpath"": ['''//*[contains(@text, ""利物浦"") and contains(@resource-id, ""item_team"")] and //*[contains(@text, ""赛程"") and @selected=""true""]  ''']}"
dongqiudi_3,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝将我的主队设置为英超阿森纳,频道,hard,8,"{""xpath"": ['''//*[contains(@text, ""主队"") and contains(@resource-id, ""id/lib_title_text"")] and //*[contains(@text, ""阿森纳"")]  ''']}"
dongqiudi_4,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,去懂球帝设置为深色主题,设置,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""true""] and //*[contains(@text, ""深色主题"")] ''']}###{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""true""  and bbox_contains_point(@bounds,$point) ] and //*[contains(@text, ""深色主题"")] ''']}"
hupu_0,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑查一下阿森纳的联赛积分,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""阿森纳"") and contains(@text, ""积分"") and contains(@resource-id, ""id/et_search"")]   ''']}"
hupu_1,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑查查去年NBA联赛冠军是谁,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""NBA"") and contains(@text, ""冠军"") and contains(@resource-id, ""id/et_search"")]   ''']}"
hupu_2,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,查看虎扑热榜的第一条新闻,频道,easy,5,"{""xpath"": ['''//*[contains(@text, ""实时热榜，每10分钟更新一次"")  ] ''']}###{""xpath"": ['''//*[contains(@text, ""热榜"")  and bbox_contains_point(../@bounds,$point) ] ''']}"
hupu_3,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑关闭个性化推荐,设置,hard,6,"{""xpath"": ['''//*[contains(@text, ""个性化推荐"") and (following-sibling::*[contains(@class, ""Switch"") and @checkable=""true"" and @checked=""false"" ]) ] ''']}"
hupu_4,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑设置我的主队为曼联,设置,hard,9,"{""xpath"": ['''//*[contains(@text, ""曼联"")  and contains(@resource-id, ""id/tvTeamName"") and (following-sibling::*[contains(@resource-id, ""id/ivDelete"")  ]) ] ''']}###{""xpath"": ['''//*[contains(@text, ""曼联"")]  and //*[contains(@text, ""已设为主队"")] ''']}"
kugoumusic_0,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,关闭酷狗音乐的自适应系统深浅色,设置,medium,5,"{""xpath"": ['''//*[contains(@text, ""自适应系统深浅色"")] and //*[contains(@content-desc, ""未选中开关"")]''']}"
kugoumusic_1,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,帮我把酷狗音乐版设置10分钟定时关闭,设置,medium,6,"{""xpath"": ['''//*[contains(@text, ""定时关闭"")]  and //*[contains(@text, ""后，将停止播放"")]  ''']}"
kugoumusic_2,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,我想听酷狗音乐里毛不易的消愁,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""消愁"") and contains(@class, ""EditText"") ] and //*[contains(@text, ""毛不易"") ] ''']}"
kugoumusic_3,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,帮我关闭酷狗音乐的无缝播放,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""无缝播放"")] and //*[contains(@content-desc, ""未选中开关"")] ''']}"
kugoumusic_4,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,在酷狗音乐里面播放童话镇,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""童话镇"") and contains(@class, ""EditText"") ] ''']}"
qtradio_0,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,我想看一下蜻蜓FM今天播放最多的国内要闻,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""播放最多"") and @checkable=""true"" and @checked=""true""] and //*[contains(@text, ""国内要闻"") and @checkable=""true"" and @checked=""true""]  ''']}"
qtradio_1,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,帮我看一下蜻蜓FM都有哪些儿童睡前故事,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""全部儿童"")]  and //*[contains(@text, ""综合排序"")]   and //*[contains(@text, ""播放最多"")] ''']}"
qtradio_2,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,帮我看一下蜻蜓FM里我现在有多少余额,我的,easy,5,"{""xpath"": ['''//*[contains(@text, ""当前余额"")]  and //*[contains(@text, ""收支明细"")]  ''']}###{""xpath"": ['''//*[contains(@text, ""任务中心"")]  and //*[contains(@text, ""余额"")]  ''']}"
qtradio_3,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,我想看蜻蜓FM里免费的小说,频道,easy,5,"{""xpath"": ['''//*[contains(@text, ""免费有声书"") and contains(@resource-id, ""id/defaultSearch"")]   ''']}"
qtradio_4,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,我想联系蜻蜓FM的客服,我的,hard,7,"{""xpath"": ['''//*[contains(@text, ""联系客服"") and bbox_contains_point(@bounds,$point) ]''']}"
feichanghuai_0,feichanghuai,feichanghuai_6.5.0.apk,飞常准,vz.com/com.feeyo.vz.DefaultAlias,在飞常准里，查看我的订单里的机票订单,我的,medium,3,"{""xpath"": ['''//*[contains(@text, ""机票订单"") and contains(@resource-id, ""id/h5_title_text"")]    ''']}"
feichanghuai_1,feichanghuai,feichanghuai_6.5.0.apk,飞常准,vz.com/com.feeyo.vz.DefaultAlias,在飞常准里，查看北京大兴机场的进港情况,我的,hard,6,"{""xpath"": ['''//*[contains(@text, ""北京大兴"") and contains(@resource-id, ""id/tv_airport_name"")]  and //*[contains(@text, ""进港"") and @selected=""true""]  ''']}"
feichanghuai_2,feichanghuai,feichanghuai_6.5.0.apk,飞常准,vz.com/com.feeyo.vz.DefaultAlias,在飞常准里，查看最近的行程记录,频道,easy,3,"{""xpath"": ['''//*[contains(@text, ""行程记录"")  and bbox_contains_point(../@bounds,$point) ]   ''']}"
feichanghuai_3,feichanghuai,feichanghuai_6.5.0.apk,飞常准,vz.com/com.feeyo.vz.DefaultAlias,在飞常准里，去设置里清除缓存,设置,medium,5,"{""xpath"": ['''//*[contains(@text, ""清除缓存"")  and bbox_contains_point(../@bounds,$point) ]   ''']}"
feichanghuai_4,feichanghuai,feichanghuai_6.5.0.apk,飞常准,vz.com/com.feeyo.vz.DefaultAlias,在飞常准里，我想看看飞行圈的热榜资讯,频道,medium,4,"{""xpath"": ['''//*[contains(@text, ""飞行圈"") and @checkable=""true"" and @checked=""true""]  and //*[contains(@text, ""热榜"") and @selected=""true""]  ''']}"
qqmusic_0,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,在QQ音乐里面播放“别看我只是一只羊”,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""别看我只是一只羊"") and contains(@resource-id, ""id/searchItem"") ] and //*[contains(@text, ""杨沛宜"")] ''']}"
qqmusic_1,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,在QQ音乐里面播放高山流水,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""高山流水"") and contains(@resource-id, ""id/searchItem"") ] and //*[contains(@text, ""古筝"")] ''']}"
qqmusic_2,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,在QQ音乐里面查找并关注周杰伦,搜索,hard,7,"{""xpath"": ['''//*[contains(@text, ""已关注歌手"")  ] and //*[contains(@text, ""周杰伦"")]''']}###{""xpath"": ['''//*[contains(@text, ""关注歌手"")  and bbox_contains_point(../@bounds,$point) ] and //*[contains(@text, ""周杰伦"")] ''']}"
qqmusic_3,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,去QQ音乐一键已读所有私信,消息,hard,6,"{""xpath"": [ '''//*[contains(@text, ""将全部未读私信设为已读"")] and //*[contains(@text, ""确认"")  and bbox_contains_point(@bounds,$point) ] ''' ]}"
qqmusic_4,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,将QQ音乐设置为简洁模式,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""简洁模式"") and (following-sibling::*[contains(@class, ""CheckBox"") and @checkable=""true"" and @checked=""true"" ]) ] ''']}###{""xpath"": ['''//*[contains(@text, ""简洁模式"") ] and //*[contains(@content-desc, ""模式与自定义"") ] ''']}"
migumusic_0,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,在咪咕音乐播放蜗牛与黄鹂鸟,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""蜗牛与黄鹂鸟"") and contains(@resource-id, ""id/edt_search_input"")] ''']}"
migumusic_1,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,在咪咕音乐播放七里香,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""七里香"") and contains(@resource-id, ""id/edt_search_input"")] ''']}"
migumusic_2,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,在咪咕音乐打开包含葫芦娃的歌单,频道,medium,6,"{""xpath"": ['''//*[contains(@text, ""葫芦娃"") and contains(@resource-id, ""id/edt_search_input"")] and //*[contains(@text, ""歌单"") and @selected=""true""]  ''']}"
migumusic_3,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,去咪咕音乐打开听歌识曲,频道,medium,6,"{""xpath"": ['''//*[contains(@text, ""听歌识曲"") and contains(@resource-id, ""id/uikit_optionnav_option_tv"")] and //*[contains(@text, ""哼唱识曲"") and contains(@resource-id, ""id/uikit_optionnav_option_tv"")]  ''']}"
migumusic_4,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,去咪咕音乐设置音乐缓存上限为500MB,设置,hard,9,"{""xpath"": ['''//*[contains(@text, ""500MB"") and (following-sibling::*[contains(@resource-id, ""local_cache_500mb"") ]) ] and //*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""topbar_title"")]  ''']}###{""xpath"": ['''//*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""item_name"")]  and //*[contains(@text, ""500MB"") and contains(@resource-id, ""item_des"")]   ''']}"
mtxx_0,mtxx,mtxx_11.12.0.apk,美图秀秀,com.mt.mtxx.mtxx/.MainActivity,我想知道美图秀秀如何申请五星达人？,我的,hard,8,"{""xpath"": ['''//*[contains(@text, ""问题详情"") ] and //*[contains(@text, ""如何申请五星达人"") ]''']}"
mtxx_1,mtxx,mtxx_11.12.0.apk,美图秀秀,com.mt.mtxx.mtxx/.MainActivity,在美图秀秀里面帮我将相册的第一张图片按照精选的第一个美图配方进行图片美化,频道,hard,8,"{""xpath"": ['''//*[contains(@text, ""所有图片"") and contains(@resource-id, ""id/tv_title"")] and //*[contains(@text, ""图片美化"") and @selected=""true""] and //*[contains(@resource-id, ""id/C"") and bbox_contains_point(@bounds,$point) ] ''', ''' //*[contains(@text, ""美图配方"") and @selected=""true""] and //*[contains(@class, ""view.ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@resource-id, ""id/A+H"")])]''', '''//*[contains(@text, ""保存"") and bbox_contains_point(@bounds,$point) ]''' ]}"
mtxx_2,mtxx,mtxx_11.12.0.apk,美图秀秀,com.mt.mtxx.mtxx/.MainActivity,查看美图秀秀图库界面有哪些最新玩法,频道,medium,5,"{""xpath"": ['''//*[contains(@text, ""最新玩法"") and @selected=""true""] ''']}"
mtxx_3,mtxx,mtxx_11.12.0.apk,美图秀秀,com.mt.mtxx.mtxx/.MainActivity,用美图秀秀将我相册的第一张人像图进行一键美颜并保存,频道,hard,9,"{""xpath"": [''' //*[contains(@class, ""FrameLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""一键美颜"")])]''', '''//*[contains(@resource-id, ""id/LR"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""保存"") and bbox_contains_point(@bounds,$point) ]''' ]}"
mtxx_4,mtxx,mtxx_11.12.0.apk,美图秀秀,com.mt.mtxx.mtxx/.MainActivity,选择相册的前两张中照片在美图秀秀里面按照模板的第一个款式进行拼图,频道,hard,8,"{""xpath"": ['''//*[contains(@text, ""开始拼图"") and bbox_contains_point(@bounds,$point) and (preceding-sibling::*[contains(@text, ""请选择1–12个图片或视频"")] ) and (preceding-sibling::*[@text=""2""] ) ]''' , '''//*[contains(@text, ""保存"") and bbox_contains_point(@bounds,$point) ]''' ]}"
theater_0,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,在喜番免费短剧中播放《传奇》第2集,搜索,medium,7,"{""xpath"": ['''//*[@text=""传奇"" and contains(@class, ""EditText"")] and //*[contains(@resource-id, ""item_root"") and bbox_contains_point(@bounds,$point) and (descendant::*[@text=""传奇"" and contains(@resource-id, ""title_name"")])]''', '''//*[contains(@text, ""第2集"") and contains(@resource-id, ""bottom_content"")] '''   ]}"
theater_1,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,在喜番免费短剧中播放“校园”类别第一个短剧,搜索,medium,7,"{""xpath"": ['''//*[contains(@class, ""ksad_tube_tag_filter_item_root"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""校园"") and contains(@resource-id, ""id/ksad_tube_tag_filter_desc"")])]''', ''' //*[contains(@resource-id, ""seek_bar"")]  ''']}"
theater_2,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,看一下我在喜番免费短剧里收藏的小说,频道,easy,4,"{""xpath"": [''' //*[contains(@text, ""小说"") and contains(@resource-id, ""ksad_novel_collect_title"") and bbox_contains_point(@bounds,$point)] ''']}"
theater_3,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,给喜番免费短剧热门推荐的第一个视频加入追剧,推荐,easy,3,"{""xpath"": ['''//*[contains(@text, ""推荐"") and @selected=""true""] and //*[contains(@resource-id, ""slide_detail_favorite_button_container"") and bbox_contains_point(@bounds,$point) ] ''']}"
theater_4,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,查看喜番免费短剧中热搜榜第一名的短剧,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""热榜"") and @selected=""true""] and //*[contains(@text, ""热搜榜"") and @selected=""true""] ''']}"
haokan_0,haokan,haokan_7.83.0.10.apk,好看视频,com.baidu.haokan/.app.activity.HomeActivity,在好看视频查看观看历史,我的,easy,4,"{""xpath"": ['''//*[contains(@class, ""RelativeLayout"")  and bbox_contains_point(@bounds,$point) and (descendant::*[contains(@text, ""观看历史"")])]''']}"
haokan_1,haokan,haokan_7.83.0.10.apk,好看视频,com.baidu.haokan/.app.activity.HomeActivity,好看视频里打开国产动漫,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""国产动漫"") and bbox_contains_point(@bounds,$point) ]''']}###{""xpath"": ['''//*[contains(@text, ""国产动漫"") and contains(@class, ""EditText"")] ''']}"
haokan_2,haokan,haokan_7.83.0.10.apk,好看视频,com.baidu.haokan/.app.activity.HomeActivity,听一下好看视频里听书猜你喜欢的第一个作品,频道,hard,6,"{""xpath"": ['''//*[contains(@text, ""听书"") and @selected=""true""] and //*[contains(@text, ""猜你喜欢"")]  and //*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point)]  ''']}"
haokan_3,haokan,haokan_7.83.0.10.apk,好看视频,com.baidu.haokan/.app.activity.HomeActivity,在好看视频清除缓存,我的,easy,4,"{""xpath"": ['''//*[contains(@class, ""RelativeLayout"")  and bbox_contains_point(@bounds,$point) and (descendant::*[contains(@text, ""清理缓存"")])]''']}"
haokan_4,haokan,haokan_7.83.0.10.apk,好看视频,com.baidu.haokan/.app.activity.HomeActivity,打开好看视频里听书高分榜里的第一个作品,频道,medium,5,"{""xpath"": [ '''//*[contains(@text, ""高分榜"")  and bbox_contains_point(@bounds,$point)] ''',  '''//*[contains(@text, ""万次播放"")] and //*[contains(@text, ""状态"")] and //*[contains(@text, ""开始听书"")] ''' ]}"
huajiao_0,huajiao,huajiao_9.6.4.2030.apk,花椒直播,com.huajiao/.cover.CoverActivity,在花椒直播里查看我附近的动态,附近,medium,5,"{""xpath"": ['''//*[contains(@text, ""附近动态"") and bbox_contains_point(@bounds,$point) ]''']}"
huajiao_1,huajiao,huajiao_9.6.4.2030.apk,花椒直播,com.huajiao/.cover.CoverActivity,查看我在花椒直播里看过的内容,我的,easy,4,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""我看过"") and contains(@resource-id, ""id/tv_text"") ])] ''']}"
huajiao_2,huajiao,huajiao_9.6.4.2030.apk,花椒直播,com.huajiao/.cover.CoverActivity,查看我的花椒直播最新的通知消息,消息,easy,4,"{""xpath"": ['''//*[contains(@resource-id, ""id/rel_notice"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""通知"") and contains(@resource-id, ""id/text_notice"") ])] ''']}"
huajiao_3,huajiao,huajiao_9.6.4.2030.apk,花椒直播,com.huajiao/.cover.CoverActivity,查看花椒直播上我的成就勋章有哪些,我的,hard,6,"{""xpath"": ['''//*[contains(@text, ""我的成就"") and contains(@resource-id, ""id/top_bar_center_top_tv"")] ''']}"
huajiao_4,huajiao,huajiao_9.6.4.2030.apk,花椒直播,com.huajiao/.cover.CoverActivity,查看花椒直播里我的访客记录,我的,easy,5,"{""xpath"": ['''//*[contains(@text, ""我的访客"") and contains(@resource-id, ""id/top_bar_center_top_tv"")] ''']}"
tencentvedio_0,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频播放葫芦兄弟,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""葫芦兄弟"")] and //*[contains(@text, ""推荐"")] and //*[contains(@text, ""选集"")] ''']}"
tencentvedio_1,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,在腾讯视频播放并推荐黑猫警长,搜索,medium,7,"{""xpath"": ['''//*[contains(@text, ""已推荐"")  ] and //*[contains(@text, ""黑猫警长"")]  and //*[contains(@text, ""选集"")]  ''']}###{""xpath"": ['''//*[contains(@text, ""推荐"")  and bbox_contains_point(../@bounds,$point) ] and //*[contains(@text, ""黑猫警长"")]  and //*[contains(@text, ""选集"")]  ''']}"
tencentvedio_2,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频查看热搜榜单,频道,medium,5,"{""xpath"": ['''//*[contains(@text, ""筛选"")]  and //*[contains(@text, ""榜单"") and @selected=""true""]  ''']}"
