task_id,task_identifier,task_app,task_app_CHN,adb_home_page,功能点,"level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）",golden_steps,goal,key_nodes,Reset,,,,,,,,,
,pinduoduo_long_4,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,我的,long-horizon,20,"去拼多多添加收货地址，收货人是mi123,手机号是13812345678，地区是安徽省合肥市庐阳区，详细地址是市府广场。接着前往我的收藏，删除收藏夹里的所有商品","{""xpath"": [''' //*[contains(@text, ""mi123"")  ] and //*[contains(@text, ""13812345678"") ] and //*[contains(@text, ""安徽省 合肥市 庐阳区 市府广场"") ]  '''  , ''' (//*[contains(@text, ""确认删除"")  and contains(@text, ""商品"") ] and   //*[contains(@text, ""删除"")  and bbox_contains_point(@bounds,$point)  ] ) or ( //*[contains(@text, ""全部收藏"")  ] and //*[contains(@text, ""暂无收藏的商品"")  ])  ''' ]}",,,,,,,,,,
,minimap_long_0,minimap,高德地图,com.autonavi.minimap/com.autonavi.map.activity.SplashActivity,频道,long-horizon,22,打开高德叫一个秒送，取件地址填乌鲁木齐市博物馆，取件人姓名为天，电话号为13712345678。收件地址填乌鲁木齐站，收件人姓名为上，电话号码为13887654321，看看需要的价格(停在提交订单前的界面)。,"{""xpath"": [ ''' ( //*[contains(@text, ""乌鲁木齐市博物馆"")] and //*[contains(@text, ""天"")] and //*[contains(@text, ""13712345678"")] and //*[contains(@text, ""使用"")  and bbox_contains_point(../@bounds,$point)  ] ) or (//*[contains(@text, ""乌鲁木齐市博物馆"")] and //*[contains(@text, ""天 13712345678"")]) ''' ,  ''' ( //*[contains(@text, ""乌鲁木齐站"")] and //*[contains(@text, ""上"")] and //*[contains(@text, ""13887654321"")] and //*[contains(@text, ""使用"")  and bbox_contains_point(../@bounds,$point)  ] ) or (//*[contains(@text, ""乌鲁木齐站"")] and //*[contains(@text, ""上 13887654321"")]) ''' ]}",,,,,,,,,,
,minimap_long_1,minimap,高德地图,com.autonavi.minimap/com.autonavi.map.activity.SplashActivity,频道,long-horizon,23,在高德地图应用中，找到租车服务，设置取车城市为青岛市，取还车地点为五四广场，取还车时间为明天的10:00至明天的16:00，预定的车型按照价格最低排序，选择舒适型，在填写订单信息前停止。在确认所有信息无误后，任务结束。,"{""xpath"": [ '''  //*[contains(@text, ""青岛市"")] and //*[contains(@text, ""五四广场"")] and //*[contains(@text, ""取车城市"")] and //*[contains(@text, ""取还车地点"")  ] ''' ,  '''  //*[contains(@text, ""明天10:00"")] and //*[contains(@text, ""明天16:00"")]  ''' ,  '''  //*[contains(@text, ""价格最低"") ] and  //*[contains(@text, ""舒适型"") ] and  //*[contains(@text, ""经济型"")   ]''' ,  '''  //*[contains(@text, ""舒适型"")  and bbox_contains_point(../@bounds,$point)  ]  ''' ]}",,,,,,,,,,
,minimap_long_2,minimap,高德地图,com.autonavi.minimap/com.autonavi.map.activity.SplashActivity,搜索,long-horizon,25,帮我用高德地图搜索“沪上阿姨”，按好评最高排序，设置距离限制在5km内，查看评分最高的门店详情和用户评价，然后规划前往该门店的公共交通路线，设置地铁优先，并将路线保存至收藏夹。前往收藏夹查看路线,"{""xpath"": [ '''  //*[contains(@text, ""沪上阿姨"")] and //*[contains(@text, ""5km内"")] and //*[contains(@text, ""好评优先"")]''' ,   ''' //*[contains(@text, ""沪上阿姨"")] and //*[contains(@text, ""评价"")] ''' ,  ''' //*[contains(@text, ""沪上阿姨"")] and //*[contains(@text, ""公共交通"") and @selected=""true"" ] and //*[contains(@text, ""地铁优先"")  and bbox_contains_point(../@bounds,$point)  ] '''  ,  '''  //*[contains(@text, ""收藏"")] and //*[contains(@text, ""路线分享"")] and //*[contains(@text, ""开始导航"")]''' ,   '''  (//*[contains(@text, ""地点"")] and //*[contains(@text, ""路线"")] and //*[contains(@text, ""我收藏的"")] ) or ( //*[contains(@text, ""收藏夹"")  and bbox_contains_point(../@bounds,$point)  ] ) ''' ]}",,,,,,,,,,
,minimap_long_3,minimap,高德地图,com.autonavi.minimap/com.autonavi.map.activity.SplashActivity,搜索,long-horizon,20,我想在高德地图中查看附近的咖啡店，筛选出收录3年以上咖啡店，查看人气最高的咖啡店的详细信息，然后规划前往该咖啡店的公共交通路线，并将其添加到收藏夹，前往收藏夹查看路线。,"{""xpath"": [ '''  //*[contains(@text, ""咖啡"")] and //*[contains(@text, ""3年"")] and //*[contains(@text, ""人气优先"")]''' , ''' //*[contains(@text, ""公共交通"") and @selected=""true"" ] and //*[contains(@text, ""咖啡"")]  ''' ,  '''  //*[contains(@text, ""收藏"")] and //*[contains(@text, ""路线分享"")] and //*[contains(@text, ""开始导航"")]''' ,  '''  (//*[contains(@text, ""地点"")] and //*[contains(@text, ""路线"")] and //*[contains(@text, ""我收藏的"")] ) or ( //*[contains(@text, ""收藏夹"")  and bbox_contains_point(../@bounds,$point)  ] ) ''' ]}",,,,,,,,,,
,minimap_long_4,minimap,高德地图,com.autonavi.minimap/com.autonavi.map.activity.SplashActivity,频道,long-horizon,24,在高德地图中帮我叫一个秒送，从洪崖洞民俗风貌区送到重庆北站，取件人姓名为39，电话号为15264985451，收件人姓名为40，电话号码为16138689654，物品类型为日用品，重量为1公斤，备注要求无接触配送，选择四轮直送和支付宝支付。在提交订单前停止。在确认配送订单信息无误后，任务结束。,"{""xpath"": [ ''' ( //*[contains(@text, ""洪崖洞民俗风貌区"")] and //*[contains(@text, ""39"")] and //*[contains(@text, ""15264985451"")] and //*[contains(@text, ""使用"")  and bbox_contains_point(../@bounds,$point)  ] ) or (//*[contains(@text, ""洪崖洞民俗风貌区"")] and //*[contains(@text, ""39 15264985451"")]) ''' ,  ''' ( //*[contains(@text, ""重庆北站"")] and //*[contains(@text, ""40"")] and //*[contains(@text, ""16138689654"")] and //*[contains(@text, ""使用"")  and bbox_contains_point(../@bounds,$point)  ] ) or (//*[contains(@text, ""重庆北站"")] and //*[contains(@text, ""40 16138689654"")]) ''' , ''' //*[contains(@text, ""日用品"")  and bbox_contains_point(../@bounds,$point)  ] '''  , '''//*[contains(@text, ""无接触配送"")  and contains(@class, ""EditText"")   ]  and  //*[contains(@text, ""1 公斤"")]   and  //*[contains(@text, ""确定"")  and bbox_contains_point(../@bounds,$point)  ] '''  ]}",,,,,,,,,,
,qq_long_0,qq,QQ,com.tencent.mobileqq/.activity.SplashActivity,消息,long-horizon,23,在QQ邀请两位好友创建一个群聊名字叫“寻欢作乐”，设置群公告为进群改名，我的本群昵称为“乐乐”，并在群里发送“你好”。,"{""xpath"": ['''//*[contains(@text, ""创建群聊"") ]  and //*[contains(@text, ""立即创建(2)"") and bbox_contains_point(@bounds,$point) ]''' ,  '''  //*[contains(@text, ""群聊名称"")] and //*[contains(@text, ""寻欢作乐"")]  ''' ,  '''  //*[contains(@text, ""我的本群昵称"")]  and //*[contains(@text, ""乐乐"")] ''' , '''//*[contains(@text, ""进群改名"")  and contains(@class, ""EditText"")]  and //*[contains(@text, ""发布"") and bbox_contains_point(@bounds,$point) ]'''  , '''//*[contains(@text, ""你好"")  and contains(@class, ""EditText"")]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]''']}",,,,,,,,,,
,qq_long_1,qq,QQ,com.tencent.mobileqq/.activity.SplashActivity,搜索,long-horizon,20,"在QQ搜索“dnd”,选择群聊，筛选新群优先，地点为广东广州，选择一个群申请加入","{""xpath"": [ '''  //*[contains(@text, ""DND"") or contains(@text, ""dnd"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""广州"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]'''  ]}",,,,,,,,,,
,qq_long_2,qq,QQ,com.tencent.mobileqq/.activity.SplashActivity,搜索,long-horizon,26,"在QQ搜索“美食”,选择群聊，筛选新群优先，人数为20-100人，依次申请加入排名前5的群聊。如果这个群聊需要回答加群问题，就退出重选新的群聊","{""xpath"": [ '''  //*[contains(@text, ""美食"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""20~100人"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]''' ,'''  //*[contains(@text, ""美食"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""20~100人"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]''' , '''  //*[contains(@text, ""美食"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""20~100人"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]''' , '''  //*[contains(@text, ""美食"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""20~100人"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]''' , '''  //*[contains(@text, ""美食"") ]  and //*[contains(@text, ""新群优先"")] and //*[contains(@text, ""20~100人"")] and //*[contains(@text, ""群聊"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""申请加群"") ]  and //*[contains(@text, ""发送申请"") and bbox_contains_point(@bounds,$point) ]'''   ]}",,,,,,,,,,
,qq_long_3,qq,QQ,com.tencent.mobileqq/.activity.SplashActivity,搜索,long-horizon,22,"在QQ先后搜索“薯条”,“汉堡”,“蛋挞”的表情。每搜索一次，都从结果中挑选一个表情，并发送给一个好友。","{""xpath"": [ '''   //*[contains(@text, ""表情"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""添加到表情"") ]  and //*[contains(@text, ""发送给好友"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''  , '''   //*[contains(@text, ""薯条"") ]  ''' , '''   //*[contains(@text, ""表情"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""添加到表情"") ]  and //*[contains(@text, ""发送给好友"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''  , '''   //*[contains(@text, ""汉堡"") ]  ''' , '''   //*[contains(@text, ""表情"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""添加到表情"") ]  and //*[contains(@text, ""发送给好友"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''   ]}",,,,,,,,,,
,qq_long_4,qq,QQ,com.tencent.mobileqq/.activity.SplashActivity,搜索,long-horizon,21,在QQ搜索“游戏”，进入机器人选项，添加前五个和游戏相关的机器人,"{""xpath"": [  ''' //*[contains(@text, ""游戏"")] and //*[contains(@text, ""机器人"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""聊天设置"") ] or //*[contains(@content-desc, ""添加使用"") and bbox_contains_point(@bounds,$point) ]''' ,  ''' //*[contains(@text, ""游戏"")] and //*[contains(@text, ""机器人"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""聊天设置"") ] or //*[contains(@content-desc, ""添加使用"") and bbox_contains_point(@bounds,$point) ]''',  ''' //*[contains(@text, ""游戏"")] and //*[contains(@text, ""机器人"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""聊天设置"") ] or //*[contains(@content-desc, ""添加使用"") and bbox_contains_point(@bounds,$point) ]''',   ''' //*[contains(@text, ""游戏"")] and //*[contains(@text, ""机器人"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""聊天设置"") ] or //*[contains(@content-desc, ""添加使用"") and bbox_contains_point(@bounds,$point) ]''',  ''' //*[contains(@text, ""游戏"")] and //*[contains(@text, ""机器人"") and @selected=""true"" ]  ''' , '''//*[contains(@text, ""聊天设置"") ] or //*[contains(@content-desc, ""添加使用"") and bbox_contains_point(@bounds,$point) ]''' ]}",,,,,,,,,,
,wuba_long_0,wuba,58同城-招聘找工作租房家政买车,com.wuba/.home.activity.HomeActivity,搜索,long-horizon,23,在58同城中，将地点定位到上海，在租房的合租频道中，筛选地铁2号线的世纪大道河和上海科技馆，限制租金在2000-2500之间，朝南主卧，户型为两室或三室。查看筛选出的第一个结果。,"{""xpath"": [  '''  //*[contains(@text, ""上海"")  and contains(@resource-id, ""id/title"")  ]   ''', '''//*[contains(@text, ""上海科技馆"") and bbox_contains_point(../../@bounds,$point)] ''',  '''//*[contains(@text, ""世纪大道"") and bbox_contains_point(../../@bounds,$point)] ''', '''//*[contains(@text, ""2000-2500元"") and bbox_contains_point(../../@bounds,$point)] ''', '''//*[contains(@text, ""主卧"") and bbox_contains_point(../../@bounds,$point)] '''  , '''//*[contains(@text, ""两室"") and bbox_contains_point(../../@bounds,$point)] ''', '''//*[contains(@text, ""三室"") and bbox_contains_point(../../@bounds,$point)] '''  , '''//*[contains(@text, ""南"") and bbox_contains_point(../../@bounds,$point)] '''  , '''//*[contains(@text, ""合租"")] and //*[contains(@text, ""地铁"")] and //*[contains(@text, ""主卧"")]  and //*[contains(@text, ""更多"")] ''' ]} ",,,,,,,,,,
,wuba_long_1,wuba,58同城-招聘找工作租房家政买车,com.wuba/.home.activity.HomeActivity,搜索,long-horizon,22,在58同城中，将地点定位到合肥，在二手房频道中，查找三里庵附近的二手房，筛选售价为100到300万之间，户型为两室或三室，朝向为南北。浏览筛选出的第一个房源。,"{""xpath"": [  '''  //*[contains(@text, ""合肥"")  and contains(@resource-id, ""id/title"")  ]   ''', '''//*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""100"")]  and //*[contains(@text, ""300"")] ''' , '''//*[contains(@text, ""两室"") and bbox_contains_point(../@bounds,$point)] ''', '''//*[contains(@text, ""三室"") and bbox_contains_point(../@bounds,$point)] '''  , '''//*[contains(@text, ""南北"") and bbox_contains_point(../../@bounds,$point)] ''' , '''//*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""户型"")]  and //*[contains(@text, ""朝向"")] '''   , '''//*[contains(@text, ""二手房"")] and //*[contains(@text, ""房型"")]  and //*[contains(@text, ""100-300万"")]  and //*[contains(@text, ""三里庵"")] ''' ]} ",,,,,,,,,,
,wuba_long_2,wuba,58同城-招聘找工作租房家政买车,com.wuba/.home.activity.HomeActivity,搜索,long-horizon,21,在58同城中，将地点定位到北京，在找工作频道中，查找文员的岗位，要求地点为全海淀，筛选出期望薪资5000-8000，五险一金周末双休，学历要求为本科的岗位，浏览推荐第一的岗位信息，查看发布这个岗位的公司信息,"{""xpath"": [  '''  //*[contains(@text, ""北京"")  and contains(@resource-id, ""id/title"")  ]   '''  , '''//*[contains(@text, ""文员"")] and //*[contains(@text, ""海淀"")]  and //*[contains(@text, ""筛选"")] '''  , '''//*[contains(@text, ""海淀"") and bbox_contains_point(@bounds,$point)]   ''' , '''//*[contains(@text, ""5000-8000"") and bbox_contains_point(../@bounds,$point)] ''', '''//*[contains(@text, ""五险一金"") and bbox_contains_point(../@bounds,$point)] '''  , '''//*[contains(@text, ""周末双休"") and bbox_contains_point(../@bounds,$point)] ''' , '''//*[contains(@text, ""本科"") and bbox_contains_point(../@bounds,$point)] ''' , '''//*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""筛选"")]  and //*[contains(@text, ""重置"")] '''  ]}  , '''//*[contains(@text, ""公司信息"") and bbox_contains_point(../../@bounds,$point)] '''",,,,,,,,,,
,wuba_long_3,wuba,58同城-招聘找工作租房家政买车,com.wuba/.home.activity.HomeActivity,频道,long-horizon,25,在58同城中，将地点定位到深圳，用地图找房租房子，筛选租金为3000-5000元，类型为整租的1室或2室，并在地铁频道中限定为2号线的华强北站附近，浏览筛选出的第一个房源。,"{""xpath"": [  '''  //*[contains(@text, ""深圳"")  and contains(@resource-id, ""id/title"")  ]   '''    , '''//*[contains(@text, ""地图找房"") and bbox_contains_point(../@bounds,$point)]   '''  , '''//*[contains(@text, ""整租"")] and //*[contains(@text, ""3000-5000元"")]  and //*[contains(@text, ""1室/2室"")] ''' , '''//*[contains(@text, ""2号线"") and bbox_contains_point(../@bounds,$point)] ''', '''//*[contains(@text, ""华强北"") and bbox_contains_point(../@bounds,$point)] ''' , '''//*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""2号线"")]  and //*[contains(@text, ""华强北"")] '''  , ''' //*[contains(@text, ""在线聊"")]  and //*[contains(@text, ""打电话"")] '''  ]} ",,,,,,,,,,
,wuba_long_4,wuba,58同城-招聘找工作租房家政买车,com.wuba/.home.activity.HomeActivity,我的,long-horizon,20,在58同城中，更新我的简历为姓名为张天，微信号为13712345678，学历为硕士，出生时间1994年，工作时间1-3年,"{""xpath"": [ '''//*[contains(@text, ""保存"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""简历修改"")]  and //*[contains(@text, ""真实姓名"")] and //*[contains(@text, ""张天"")]  and //*[contains(@text, ""微信号"")]  and //*[contains(@text, ""13712345678"")]  and //*[contains(@text, ""1994年"")] and //*[contains(@text, ""硕士"")]  and //*[contains(@text, ""1-3年"")] '''  ]} ",,,,,,,,,,
,tonghuashuna_long_0,tonghuashun,同花顺-股票炒股,com.hexin.plat.android/.Hexin,频道,long-horizon,29,去同花顺查看A股的股票排行榜，将股价，涨跌停，成交额加入榜单的筛选条件，过滤掉上市30日以内的新股票，筛选股价在10-100之间，有涨停，成交额大于10亿的股票，筛选完后浏览涨幅榜第一的股票。,"{""xpath"": [ '''//*[contains(@text, ""确定"") and bbox_contains_point(../@bounds,$point)] and //*[contains(@text, ""过滤不想看的股票"")]  and //*[contains(@text, ""30"")] and //*[contains(@text, ""日内的新股"")] ''',  '''//*[contains(@text, ""确定"") and bbox_contains_point(../@bounds,$point)] and //*[contains(@text, ""股价"")]  and //*[@text=""10""] and //*[@text=""100""] '''  , ''' //*[contains(@text, ""股票排行榜"")]  and //*[contains(@text, ""涨停"")] ''', '''//*[contains(@text, ""大于10亿"") and bbox_contains_point(../@bounds,$point)] and //*[contains(@text, ""成交额"")] '''  , ''' //*[contains(@text, ""分时"")]  and //*[contains(@text, ""日K"")]   and //*[contains(@text, ""周K"")] '''  ]} ",,,,,,,,,,
,tonghuashuna_long_1,tonghuashun,同花顺-股票炒股,com.hexin.plat.android/.Hexin,频道,long-horizon,21,去同花顺查看A股的股票排行榜，将亮点，行业和公告加入榜单的筛选条件，筛选盈利能力优秀，医疗器械行业，近一个月重组的股票，筛选完后浏览成交额第一的股票。,"{""xpath"": [ ''' //*[contains(@text, ""股票排行榜"")] and //*[contains(@text, ""盈利能力优秀"")] ''',''' //*[contains(@text, ""股票排行榜"")] and //*[contains(@text, ""医疗器械"")] ''',''' //*[contains(@text, ""股票排行榜"")] and //*[contains(@text, ""近一个月重组"")] ''' , '''//*[contains(@text, ""成交额"") and bbox_contains_point(@bounds,$point)]  '''  ,  ''' //*[contains(@text, ""分时"")] and //*[contains(@text, ""日K"")] and //*[contains(@text, ""周K"")] ''' ]} ",,,,,,,,,,
,tonghuashuna_long_2,tonghuashun,同花顺-股票炒股,com.hexin.plat.android/.Hexin,频道,long-horizon,22,去同花顺查看A股的股票排行榜，分别浏览涨幅榜、跌幅榜和成交额第一的股票，依次查看他们的公告资讯中的大事提醒里的财务披露。,"{""xpath"": [ ''' //*[contains(@text, ""股票排行榜"")] and //*[contains(@text, ""涨幅榜"")] ''', '''//*[contains(@text, ""财务披露"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""全部大事"")] ''' , '''//*[contains(@text, ""跌幅榜"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""股票排行榜"")] ''' ', '''//*[contains(@text, ""财务披露"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""全部大事"")] ''', '''//*[contains(@text, ""成交额"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""股票排行榜"")] ''' ', '''//*[contains(@text, ""财务披露"") and bbox_contains_point(@bounds,$point)] and //*[contains(@text, ""全部大事"")] ''' ]} ",,,,,,,,,,
,tonghuashuna_long_3,tonghuashun,同花顺-股票炒股,com.hexin.plat.android/.Hexin,搜索,long-horizon,20,去同花顺分别看一下贵州茅台，青岛啤酒，五粮液的历史异动解读,"{""xpath"": [''' //*[contains(@text, ""贵州茅台"")] and (//*[contains(@text, ""异动解读"") and contains(@resource-id, ""id/title_bar_middle"") ] or  //*[contains(@text, ""历史异动"") and bbox_contains_point(../@bounds,$point) ] ) ''' , ''' //*[contains(@text, ""青岛啤酒"")] and (//*[contains(@text, ""异动解读"") and contains(@resource-id, ""id/title_bar_middle"") ] or  //*[contains(@text, ""历史异动"") and bbox_contains_point(../@bounds,$point) ] ) ''' , ''' //*[contains(@text, ""五 粮 液"")] and (//*[contains(@text, ""异动解读"") and contains(@resource-id, ""id/title_bar_middle"") ] or  //*[contains(@text, ""历史异动"") and bbox_contains_point(../@bounds,$point) ] ) ''' ]}",,,,,,,,,,
,tonghuashuna_long_4,tonghuashun,同花顺-股票炒股,com.hexin.plat.android/.Hexin,频道,long-horizon,22,去同花顺将热股榜的前5支股票加入自选，再去自选频道查看,"{""xpath"": [ ''' //*[contains(@text, ""同花顺热榜"")] and //*[contains(@text, ""热股"")] ''', ''' //*[contains(@text, ""加自选"") and bbox_contains_point(../@bounds,$point)] or //*[contains(@text, ""删自选"") and contains(@resource-id, ""id/tv_add_remove_zixuan"") ] ''' , ''' //*[contains(@text, ""同花顺热榜"")] and //*[contains(@text, ""热股"")] ''', ''' //*[contains(@text, ""加自选"") and bbox_contains_point(../@bounds,$point)] or //*[contains(@text, ""删自选"") and contains(@resource-id, ""id/tv_add_remove_zixuan"") ] ''' ,  ''' //*[contains(@text, ""同花顺热榜"")] and //*[contains(@text, ""热股"")] ''', ''' //*[contains(@text, ""加自选"") and bbox_contains_point(../@bounds,$point)] or //*[contains(@text, ""删自选"") and contains(@resource-id, ""id/tv_add_remove_zixuan"") ] ''' ,  ''' //*[contains(@text, ""同花顺热榜"")] and //*[contains(@text, ""热股"")] ''', ''' //*[contains(@text, ""加自选"") and bbox_contains_point(../@bounds,$point)] or //*[contains(@text, ""删自选"") and contains(@resource-id, ""id/tv_add_remove_zixuan"") ] ''' ,  ''' //*[contains(@text, ""同花顺热榜"")] and //*[contains(@text, ""热股"")] ''', ''' //*[contains(@text, ""加自选"") and bbox_contains_point(../@bounds,$point)] or //*[contains(@text, ""删自选"") and contains(@resource-id, ""id/tv_add_remove_zixuan"") ] ''' ,  '''//*[contains(@text, ""体育"") and @selected=""true""] and //*[contains(@text, ""同花顺自选"") ] ''' ]} ",,,,,,,,,,
,baidubrowser_long_0,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,设置,long-horizon,20,在百度浏览器中添加一个收货地址，姓名是张三，电话是13810069493，地区是北京海淀区清河街道，详细地址是西二旗中路33号小米移动互联网产业园，标签为公司，设为默认地址,"{""xpath"": [  '''//*[contains(@text, ""张三"")] and //*[contains(@text, ""13810069493"")] and //*[contains(@text, ""北京海淀区清河街道"")] and //*[contains(@text, ""西二旗中路33号小米移动互联网产业园"")] and  //*[contains(@text, ""公司"")] and  //*[contains(@text, ""默认"")] and  //*[contains(@text, ""添加地址"")] ''' ]}",,,,,,,,,,
,baidubrowser_long_1,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,设置,long-horizon,23,在百度浏览器中小说频道打开诡秘之主，设置字号为12，字体为系统字体，版式间距紧凑，屏幕10分钟关闭。,"{""xpath"": [ '''//*[contains(@text, ""字体"")] and //*[contains(@text, ""12"")] ''' , '''//*[contains(@text, ""紧凑"") and @selected=""true""] and //*[contains(@text, ""10分钟"") and @selected=""true""] ''' ,''' //*[contains(@text, ""系统字体"")] ''' ]}",,,,,,,,,,
,baidubrowser_long_2,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,搜索,long-horizon,29,在百度浏览器中分别搜索哈士奇、萨摩耶和阿拉斯加的图片并下载，前往我的图片处查看,"{""xpath"": [  '''//*[contains(@text, ""哈士奇"")] and //*[contains(@text, ""图片"") and @selected=""true""] '''  ,''' //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""萨摩耶"")] and //*[contains(@text, ""图片"") and @selected=""true""] '''  ,''' //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point)  ]  ''',  '''//*[contains(@text, ""阿拉斯加"")] and //*[contains(@text, ""图片"") and @selected=""true""] '''  ,''' //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point)  ]  ''' ,  '''(//*[contains(@text, ""最近图片"")] and //*[contains(@text, ""我的相册"")] )  or ( //*[contains(@text, ""手机文件"")]   and  //*[contains(@text, ""最近下载"") and bbox_contains_point(../../@bounds,$point)] )  '''  ]}",,,,,,,,,,
,baidubrowser_long_3,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,搜索,long-horizon,29,在百度浏览器中分别搜索芒果布丁和抹茶布丁的图片，在两个搜索结果中分别下载一张图片并打开该图片来源，前往我的图片处查看下载的图片,"{""xpath"": [  '''//*[contains(@text, ""芒果布丁"")] and //*[contains(@text, ""图片"") and @selected=""true""] '''  ,''' //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point)  ]  ''' ,''' //*[contains(@text, ""图片来源"")  and bbox_contains_point(../@bounds,$point)  ]  ''' , '''//*[contains(@text, ""抹茶布丁"")] and //*[contains(@text, ""图片"") and @selected=""true""] '''  ,''' //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point)  ]  ''' ,''' //*[contains(@text, ""图片来源"")  and bbox_contains_point(../@bounds,$point)  ]  ''' ,  '''(//*[contains(@text, ""最近图片"")] and //*[contains(@text, ""我的相册"")] )  or ( //*[contains(@text, ""手机文件"")]   and  //*[contains(@text, ""最近下载"") and bbox_contains_point(../../@bounds,$point)] )  '''  ]}",,,,,,,,,,
,baidubrowser_long_4,baidubrowser,百度-AI智能搜索,com.baidu.searchbox/.MainActivity,频道,long-horizon,25,在百度浏览器里打开百度热搜的体育榜的前三条新闻，在每条新闻中分别选择优质结果的第一条，查看新闻源并关注。最终前往我的历史查看历史浏览记录,"{""xpath"": ['''//*[contains(@text, ""热搜"") and @selected=""true""]  and //*[contains(@text, ""体育榜"")]   '''  ,''' //*[contains(@content-desc, ""点赞"")  ]  and //*[contains(@content-desc, ""收藏"")  ]  and //*[contains(@content-desc, ""分享"")  ]   ''' , '''//*[contains(@text, ""热搜"") and @selected=""true""]  and //*[contains(@text, ""体育榜"")]   '''  ,''' //*[contains(@content-desc, ""点赞"")  ]  and //*[contains(@content-desc, ""收藏"")  ]  and //*[contains(@content-desc, ""分享"")  ]   ''' , '''//*[contains(@text, ""热搜"") and @selected=""true""]  and //*[contains(@text, ""体育榜"")]   '''  ,''' //*[contains(@content-desc, ""点赞"")  ]  and //*[contains(@content-desc, ""收藏"")  ]  and //*[contains(@content-desc, ""分享"")  ]   ''' , '''//*[contains(@text, ""收藏"")  ] and //*[contains(@text, ""历史"") and @selected=""true""]  '''  ]}",,,,,,,,,,
