task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes,Reset,reset_steps,reset_query,reset_xpath
kugoumusic_1,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,帮我把酷狗音乐版设置10分钟定时关闭,设置,medium,6,"{""xpath"": ['''//*[contains(@text, ""定时关闭"")]  and //*[contains(@text, ""后，将停止播放"")]  ''']}",Need,6,关闭酷狗音乐的定时关闭设置。步骤如下：1. 打开酷狗音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的三条横线的设置按钮，进入设置界面。3. 在设置页面里面，点击“定时关闭”按钮，打开“定时关闭”弹窗。4. 在“定时关闭”弹窗里面，选中“关闭”选项，完成任务。按照以上步骤打开无缝播放。,"{""xpath"": ['''//*[contains(@text, ""定时关闭功能未开启"")]  ''']}"
kugoumusic_2,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,我想听酷狗音乐里毛不易的消愁,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""消愁"") and contains(@class, ""EditText"") ] and //*[contains(@text, ""毛不易"") ] ''']}",Search,6,去酷狗音乐清除搜索历史。步骤如下：1. 打开酷狗音乐，点击首页顶部的搜索框。2.在搜索页中的历史搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史。 点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“确定清空搜索历史”的弹窗中，点击“确定”按钮。   按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确定清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@class, ""EditText"") ]  and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""历史搜索"")] ) ''' ]}"
kugoumusic_3,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,帮我关闭酷狗音乐的无缝播放,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""无缝播放"")] and //*[contains(@content-desc, ""未选中开关"")] ''']}",Need,8,帮我打开酷狗音乐的无缝播放。步骤如下：1. 打开酷狗音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的三条横线的设置按钮，进入设置界面。3. 在设置页面里面，点击“设置”按钮，进入详细的设置页面。4. 在设置页面里面，点击“播放与下载”按钮。5. 观察“无缝播放”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开无缝播放。,"{""xpath"": ['''//*[contains(@text, ""无缝播放"")] and //*[contains(@content-desc, ""已选中开关"")] ''']}"
qtradio_1,qtradio,qtradio_10.8.7.apk,蜻蜓FM,fm.qingting.qtradio/.WelcomeActivity,帮我看一下蜻蜓FM都有哪些儿童睡前故事,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""全部儿童"")]  and //*[contains(@text, ""综合排序"")]   and //*[contains(@text, ""播放最多"")] ''']}",Search,5,去蜻蜓FM清除搜索记录。步骤如下：1. 打开蜻蜓FM，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。如果没有搜索历史那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@content-desc, ""清除搜索历史记录"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [''' //*[ contains(@resource-id, ""id/searchKey"") ]  and //*[contains(@text, ""搜索发现"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
qqmusic_0,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,在QQ音乐里面播放“别看我只是一只羊”,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""别看我只是一只羊"") and contains(@resource-id, ""id/searchItem"") ] and //*[contains(@text, ""杨沛宜"")] ''']}",Search,5,去QQ音乐清除搜索历史。步骤如下：1. 打开QQ音乐，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“是否清空所有搜索历史”的弹窗中，点击“清空”按钮。  如果没有搜索历史那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""是否清空所有搜索历史"")] and //*[contains(@text, ""清空"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""id/searchItem"")]  and //*[contains(@text, ""热门搜索"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
qqmusic_2,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,在QQ音乐里面查找并关注周杰伦,搜索,hard,7,"{""xpath"": ['''//*[contains(@text, ""已关注歌手"")  ] and //*[contains(@text, ""周杰伦"")]''']}###{""xpath"": ['''//*[contains(@text, ""关注歌手"")  and bbox_contains_point(../@bounds,$point) ] and //*[contains(@text, ""周杰伦"")] ''']}",Need,7,去QQ音乐清除我的关注。步骤如下：1. 打开QQ音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面中头像右侧的关注按钮，进入关注界面。3. 在关注页面里面，观察歌手选项下是否有“周杰伦”，如果有，点击这个歌手进入它的主页。 4， 在周杰伦的主页里面，点击“已关注歌手”按钮，打开取消关注弹窗。 5. 在在弹出的“取消关注后将无法接收歌手新歌通知”的弹窗中，点击“不再关注”按钮。   按照以上步骤清除我的关注。,"{""xpath"": [ '''//*[contains(@text, ""取消关注后将无法接收歌手新歌通知"")] and //*[contains(@text, ""不再关注"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@text, ""关注"")] and //*[contains(@text, ""歌手"")] and //*[contains(@text, ""好友"")] and not(//*[contains(@text, ""周杰伦"")] ) ''' ]}"
qqmusic_4,qqmusic,qqmuisc_14.6.0.8.apk,QQ音乐,com.tencent.qqmusic/.activity.AppStarterActivity,将QQ音乐设置为简洁模式,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""简洁模式"") and (following-sibling::*[contains(@class, ""CheckBox"") and @checkable=""true"" and @checked=""true"" ]) ] ''']}###{""xpath"": ['''//*[contains(@text, ""简洁模式"") ] and //*[contains(@content-desc, ""模式与自定义"") ] ''']}",Need,8,去QQ音乐将模式设置为默认模式。步骤如下：1. 打开QQ音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的设置按钮，进入设置界面。3. 在“更多”的设置页面里面，点击“模式与自定义”按钮。 4.  在模式选择的选项中，选中默认模式。   按照以上步骤将模式设置为默认模式,"{""xpath"": ['''//*[contains(@text, ""默认模式"") and (following-sibling::*[contains(@class, ""CheckBox"") and @checkable=""true"" and @checked=""true"" ]) ] ''']}###{""xpath"": ['''//*[contains(@text, ""默认模式"") ] and //*[contains(@content-desc, ""模式与自定义"") ] ''']}"
migumusic_0,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,在咪咕音乐播放蜗牛与黄鹂鸟,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""蜗牛与黄鹂鸟"") and contains(@resource-id, ""id/edt_search_input"")] ''']}",Search,5,去咪咕音乐清除最近搜索。步骤如下：1. 打开咪咕音乐，点击首页顶部的搜索框。2.在搜索页中的最近搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“确定清空全部历史记录”的弹窗中，点击“确定”按钮。如果没有最近搜索那一栏，视为任务完成。   按照以上步骤清除最近搜索,"{""xpath"": [ '''//*[contains(@text, ""确定清空全部历史记录"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""id/search_page_search_txt"") ] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""最近搜索"")] ) ''' ]}"
migumusic_4,migumusic,migumusic_7.47.0.apk,咪咕音乐,cmccwm.mobilemusic/.ui.SplashActivity,去咪咕音乐设置音乐缓存上限为500MB,设置,hard,9,"{""xpath"": ['''//*[contains(@text, ""500MB"") and (following-sibling::*[contains(@resource-id, ""local_cache_500mb"") ]) ] and //*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""topbar_title"")]  ''']}###{""xpath"": ['''//*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""item_name"")]  and //*[contains(@text, ""500MB"") and contains(@resource-id, ""item_des"")]   ''']}",Need,9,去咪咕音乐设置音乐缓存上限为200MB。步骤如下：1. 打开咪咕音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面左上角的三条横线形状的设置按钮，进入设置界面。3. 在展开的设置菜单里面，点击左下角的“设置”按钮。 4. 持续向“up”方向滑动，直到露出“设置音乐缓存上限”选项。5. 点击“设置音乐缓存上限”选项。 6. 在选项中，选中200MB。   按照以上步骤设置音乐缓存上限为200MB,"{""xpath"": ['''//*[contains(@text, ""200MB"") and (following-sibling::*[contains(@resource-id, ""local_cache_200mb"") ]) ] and //*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""topbar_title"")]  ''']}###{""xpath"": ['''//*[contains(@text, ""设置音乐缓存上限"") and contains(@resource-id, ""item_name"")]  and //*[contains(@text, ""200MB"") and contains(@resource-id, ""item_des"")]   ''']}"
theater_0,theater,theater_2.7.1.2.apk,喜番免费短剧,com.kwai.theater/.api.component.HomeActivity,在喜番免费短剧中播放《传奇》第2集,搜索,medium,7,"{""xpath"": ['''//*[@text=""传奇"" and contains(@class, ""EditText"")] and //*[contains(@resource-id, ""item_root"") and bbox_contains_point(@bounds,$point) and (descendant::*[@text=""传奇"" and contains(@resource-id, ""title_name"")])]''', '''//*[contains(@text, ""第2集"") and contains(@resource-id, ""bottom_content"")] '''   ]}",Search,7,去喜番免费短剧清除搜索历史。步骤如下：1. 打开喜番免费短剧，点击首页右上角的搜索框。2.在搜索页中的历史搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“确认删除全部搜索记录”的弹窗中，点击“确定”按钮。如果没有搜索历史那一栏，视为任务完成。   按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确认删除全部搜索记录"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""id/search_edit_text_view"") ] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""历史搜索"")] ) ''' ]}"
xiguavideo_3,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,在西瓜视频里面播放英雄本色,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""英雄本色"") and contains(@content-desc, ""搜索框"")] ''']}###{""xpath"": ['''//*[contains(@text, ""英雄本色"")] and //*[contains(@text, ""暂停"")] and //*[contains(@text, ""播放"")] ''']}",Search,6,去西瓜视频清除搜索历史。步骤如下：1. 打开西瓜视频，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“是否删除全部搜索历史”的弹窗中，点击“清空”按钮。如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""是否删除全部搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@content-desc, ""搜索框"")] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""历史搜索"")] ) ''' ]}"
tencentvedio_0,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频播放葫芦兄弟,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""葫芦兄弟"")] and //*[contains(@text, ""推荐"")] and //*[contains(@text, ""选集"")] ''']}",Search,6,去腾讯视频清除搜索历史。步骤如下：1. 打开腾讯视频，点击首页顶部的搜索框。2.在搜索页中的历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。如果没有搜索历史那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@content-desc, ""删除历史按钮"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [''' //*[ contains(@class, ""EditText"")] and //*[contains(@text, ""榜单"")] and //*[contains(@text, ""找片"")] and not (//*[contains(@content-desc, ""删除历史按钮"")] ) ''' ]}"
tencentvedio_3,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频设置自动跳过片头片尾,设置,hard,6,"{""xpath"": ['''//*[contains(@content-desc, ""自动跳过片头片尾,，切换按钮打开"") ] and //*[contains(@content-desc, ""播放设置 , 导航栏"") ]''']}",Need,6,去腾讯视频关闭设置自动跳过片头片尾。步骤如下：1. 打开腾讯视频，点击首页右下角的“个人中心”按钮，进入个人中心页面。 2. 点击页面右上角的螺帽状的设置按钮，进入设置界面。3. 在设置页面里面，点击“播放设置”按钮。 4.  在播放设置的选项中，观察“自动跳过片头片尾”右侧的滑块是否处于关闭状态，点击滑块让它处于关闭状态，完成任务。按照以上步骤关闭设置自动跳过片头片尾。,"{""xpath"": ['''//*[contains(@content-desc, ""自动跳过片头片尾,，切换按钮关闭"") ] and //*[contains(@content-desc, ""播放设置 , 导航栏"") ]''']}"
yangcong345_4,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,在洋葱学园中查看二元一次方程组这个知识点,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""二元一次"") and contains(@text, ""方程"") and contains(@class, ""EditText"")] ''']}",Search,6,去洋葱学园清除提问历史。步骤如下：1. 打开洋葱学园，点击首页顶部的搜索框。2.在搜索页中的提问历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在在弹出的“确定要删除全部的搜索记录吗”的弹窗中，点击“删除”按钮。如果没有提问历史那一栏，视为任务完成。   按照以上步骤清除提问历史,"{""xpath"": [ ''' //*[contains(@text, ""delete"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""HeaderSearch"") ] and //*[contains(@text, ""同学都在问"")] and not(//*[contains(@text, ""提问历史"")] ) ''' ]}"
xunfeiai_3,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,打开讯飞AI学中“口算批改”功能,频道,easy,3,"{""xpath"": [ '''//*[contains(@content-desc, ""口算批改"") and bbox_contains_point(@bounds,$point) ]''']}",Search,5,去讯飞AI学清除搜索历史。步骤如下：1. 打开讯飞AI学，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3.  在弹出的“清除全部搜索历史”的弹窗中，点击“清除”按钮。如果没有搜索历史那一栏，视为任务完成。   按照以上步骤清除搜索历史,"{""xpath"": [ '''//*[contains(@content-desc, ""清除全部搜索历史"")] and //*[contains(@content-desc, ""清除"") and bbox_contains_point(@bounds,$point) ] ''' ]}  ###{""xpath"": [''' //*[ contains(@class, ""EditText"") ]  and //*[contains(@content-desc, ""搜索"")] and not(//*[contains(@content-desc, ""搜索历史"")] ) ''' ]}"
zuoyebang_0,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮查找“中考作文感恩”,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""中考"") and contains(@text, ""作文"") and contains(@text, ""感恩"") and contains(@class, ""EditText"")] ''']}",Search,5,去作业帮清除搜索历史。步骤如下：1. 打开作业帮，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。 按照以上步骤清除搜索历史,"{""xpath"": [''' //*[ contains(@class, ""EditText"") ]  and //*[contains(@text, ""搜索发现"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
