"task_id","task_identifier","task_app","task_app_CHN","adb_home_page","功能点","Icon","HiddenFunction","Hierarchical","weight","explo_level","level","golden_steps","goal","key_nodes","Reset","Unnamed: 16","Unnamed: 18","Unnamed: 19"
"","pinduoduo_28","pinduoduo","拼多多","com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity","个人中心","1","1","","1.5","M","hard","7","把拼多多头像更换为相册第一张照片","{""xpath"": ['''//*[contains(@text, ""从手机相册选择"")  and bbox_contains_point(@bounds,$point)] ''' and  '''//*[contains(@resource-id, ""id/pdd"")  and bbox_contains_point(@bounds,$point)  and  (preceding-sibling::*[contains(@text, ""裁剪"") ])] ''' ]}","Need","TRUE","",""
"295","minimap_1","minimap","高德地图","com.autonavi.minimap/com.autonavi.map.activity.SplashActivity","搜索","","2","1","4","H","hard","10","在高德地图中查一下上海市外地小客车的限行政策","{""xpath"": ['''//*[contains(@text, ""上海市"")]  and //*[contains(@text, ""查看限行政策"")]  and //*[contains(@text, ""外地小客车"")] ''']}","","","",""
"","minimap_6","minimap","高德地图","com.autonavi.minimap/com.autonavi.map.activity.SplashActivity","搜索","","2","","2","M","hard","9","高德查一下颐和园到北京大学的步行路线","{""xpath"": ['''   //*[contains(@text, ""步行"") and @selected=""true""]   and   //*[contains(@text, ""颐和园"")  and contains(@resource-id, ""id/route_edit_summary_start"")  ]  and //*[contains(@text, ""北京大学"")  and contains(@resource-id, ""id/route_edit_summary_end"")  ]  ''' ]}","","","",""
"","minimap_7","minimap","高德地图","com.autonavi.minimap/com.autonavi.map.activity.SplashActivity","搜索","","2","","2","M","hard","9","高德查一下北京南站到北京丰台站的地铁路线","{""xpath"": ['''   //*[contains(@text, ""公共交通"") and @selected=""true""]   and   //*[contains(@text, ""北京南站"")  and contains(@resource-id, ""id/route_edit_summary_start"")  ]  and //*[contains(@text, ""北京丰台站"")  and contains(@resource-id, ""id/route_edit_summary_end"")  ]  ''' ]}","","","",""
"","minimap_15","minimap","高德地图","com.autonavi.minimap/com.autonavi.map.activity.SplashActivity","常用地点","1","1","1","3.5","H","hard","8","高德设置一下公司的地址为小米科技园B栋","{""xpath"": ['''   //*[contains(@text, ""公司  小米科技园"") ]  ''' ]} ###{""xpath"": [''' //*[contains(@text, ""设置公司地址"") ] and //*[contains(@text, ""小米科技园"")  and contains(@class, ""EditText"") ] ''' ]} ","","","",""
"","minimap_17","minimap","高德地图","com.autonavi.minimap/com.autonavi.map.activity.SplashActivity","附近","","1","","1","E","medium","5","打开高德地图附近页，看看附近有没有洗车的4s店","{""xpath"": ['''//*[contains(@resource-id, ""id/tab_bar_item_parent"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""附近"") ]  )   ]  ''' ,  '''//*[contains(@content-desc, ""搜索框"") and (contains(@content-desc, ""4S店"") or contains(@content-desc, ""4s店"") ) ] ''' ]}  ","","","",""
"","qq_8","qq","QQ","com.tencent.mobileqq/.activity.SplashActivity","消息","1","1","","1.5","M","hard","6","打开QQ给绕堤沙发送“恭喜发财”的表情包","{""xpath"": ['''//*[contains(@text, ""绕堤沙"") ]  and //*[contains(@text, ""恭喜发财"")  and contains(@class, ""EditText"")]  and //*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) ]''']}","","","",""
"","qq_4","qq","QQ","com.tencent.mobileqq/.activity.SplashActivity","搜索","","1","","1","E","hard","6","打开QQ添加1098074562为好友","{""xpath"": [ '''//*[contains(@text, ""绕堤沙"") and contains(@resource-id, ""id/nickname"") ] and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [ '''//*[contains(@text, ""1098074562"") and contains(@class, ""EditText"") and contains(@content-desc, ""搜索"") ]   and  //*[contains(@text, ""1098074562"") and contains(@class, ""TextView"") and ( following-sibling::*[@text=""已添加""])]  ''' ]}","Need","TRUE","",""
"","qq_10","qq","QQ","com.tencent.mobileqq/.activity.SplashActivity","消息","1","1","","1.5","M","hard","6","打开QQ给绕堤沙发送一个微笑的emoji","{""xpath"": ['''//*[contains(@text, ""绕堤沙"")    ]  and //*[contains(@text, "".."")  and contains(@class, ""EditText"")]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]''']}","","TRUE","",""
"","qq_19","qq","QQ","com.tencent.mobileqq/.activity.SplashActivity","个人中心","1","1","","1.5","M","hard","7","我要更换QQ模式到关怀模式","{""xpath"": [ '''  //*[contains(@text, ""开启关怀模式"") and bbox_contains_point(@bounds,$point) ] ''' ]}","Need","TRUE","",""
"","qq_28","qq","QQ","com.tencent.mobileqq/.activity.SplashActivity","动态","","1","1","3","H","hard","5","打开QQ运动查看我的运动勋章","{""xpath"": ['''//*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""运动"")  ] ) ] ''']}","","","",""
"","wuba_5","wuba","58同城-招聘找工作租房家政买车","com.wuba/.home.activity.HomeActivity","搜索","","1","","1","E","hard","6","在58同城中查看二手车小米SU7的具体参数配置","{""xpath"": ['''  //*[contains(@text, ""参数配置"")  and contains(@resource-id, ""id/title"")  ]  and //*[contains(@text, ""小米SU7"")  and contains(@resource-id, ""id/tv_top_title"")  ] ''' ]}","","","",""
"","wuba_11","wuba","58同城-招聘找工作租房家政买车","com.wuba/.home.activity.HomeActivity","搜索","","1","","1","E","hard","8","在58同城的租房频道筛选合租、主卧的个人房源","{""xpath"": ['''//*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""个人"")  and contains(@resource-id, ""id/select_item_text"")  ] ) ] ''', '''//*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""主卧"")  and contains(@resource-id, ""id/select_item_text"")  ] ) ] ''']}###{""xpath"": ['''//*[contains(@text, ""个人"") and bbox_contains_point(../@bounds,$point)] ''', '''//*[contains(@text, ""合租"") and bbox_contains_point(../@bounds,$point)] ''', '''//*[contains(@text, ""主卧"") and bbox_contains_point(../../@bounds,$point)] ''']}","","","",""
"","wuba_12","wuba","58同城-招聘找工作租房家政买车","com.wuba/.home.activity.HomeActivity","搜索","1","1","","1.5","M","medium","5","帮我在58同城中把当前城市改为合肥","{""xpath"": ['''  //*[contains(@text, ""合肥"")  and contains(@resource-id, ""id/title"")  ]   ''' ]}","","TRUE","",""
"","wuba_25","wuba","58同城-招聘找工作租房家政买车","com.wuba/.home.activity.HomeActivity","设置","","1","1","3","H","hard","5","去58同城看一下它的资质协议","{""xpath"": ['''//*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""资质协议"")  ] )  ] ''']} ","","","",""
"","wuba_24","wuba","58同城-招聘找工作租房家政买车","com.wuba/.home.activity.HomeActivity","设置","","1","1","3","H","hard","8","去58同城关闭首页视频自动播放","{""xpath"": [''' //*[contains(@text, ""自动播放设置"")] and  //*[contains(@text, ""关闭"") ]  and //*[contains(@text, ""首页视频直播自动播放设置"") ]  ''']} ","","TRUE","",""
"","tonghuashun_6","tonghuashun","同花顺-股票炒股","com.hexin.plat.android/.Hexin","搜索","","2","","2","M","hard","9","在同花顺看一下青岛啤酒的图解财报","{""xpath"": [''' //*[contains(@text, ""青岛啤酒"")] and //*[contains(@text, ""图解财报"") and contains(@resource-id, ""id/title_bar_middle"") ]  ''' ]} ###{""xpath"": [  '''  //*[contains(@text, ""青岛啤酒"")] and //*[contains(@text, ""财报"") and bbox_contains_point(../@bounds,$point) ] ''' ]}","","TRUE","",""
"","tonghuashun_17","tonghuashun","同花顺-股票炒股","com.hexin.plat.android/.Hexin","自选","1","","1","2.5","H","hard","5","在同花顺播放自选股资讯的全部新闻","{""xpath"": ['''  //*[contains(@text, ""自选股新闻"")  and contains(@resource-id, ""id/title_bar_middle"")  ]  and //*[contains(@resource-id, ""id/tts_bar_play_all"") and contains(@text, ""播放全部"") and bbox_contains_point(@bounds,$point)  ] ''' ]}","","","",""
"","tonghuashun_19","tonghuashun","同花顺-股票炒股","com.hexin.plat.android/.Hexin","自选","","1","1","3","H","medium","5","在同花顺订阅自选分析里的晚报","{""xpath"": ['''  //*[contains(@text, ""自选分析"")  and contains(@resource-id, ""id/title_bar_middle"")  ]  and //*[ contains(@text, ""每天20:30"") ]  and //*[ contains(@text, ""已订阅"") ] ''' ]}###{""xpath"": ['''//*[contains(@text, ""自选分析"")  and contains(@resource-id, ""id/title_bar_middle"")  ]  and //*[contains(@text, ""晚报"")  and bbox_contains_point(@bounds,$point)] ''' ]}","","","",""
"","tonghuashun_20","tonghuashun","同花顺-股票炒股","com.hexin.plat.android/.Hexin","理财","","","1","2","M","hard","4","我想看一下同花顺的基金涨幅榜","{""xpath"": [  '''//*[contains(@text, ""涨幅榜"")] and //*[contains(@text, ""反弹榜"")] and //*[contains(@text, ""人气榜"")  ] and //*[contains(@text, ""加仓榜"")  ] ''' ]}","","","",""
"","tonghuashun_28","tonghuashun","同花顺-股票炒股","com.hexin.plat.android/.Hexin","设置","2","1","","2","M","medium","4","在同花顺开启屏幕常亮","{""xpath"": ['''//*[contains(@text, ""屏幕常亮"")     and contains(@resource-id, ""id/textView"")  and ( following-sibling::*[contains(@content-desc, ""已关闭"") and contains(@resource-id, ""id/switch_button"") ]) ]  ''' ]}","","TRUE","",""
"","baidubrowser_4","baidubrowser","百度-AI智能搜索","com.baidu.searchbox/.MainActivity","搜索","","1","","1","E","medium","4","在百度浏览器里打开百度热搜的体育榜的第一条新闻","{""xpath"": ['''//*[contains(@text, ""体育"") and @selected=""true""] or //*[contains(@class, ""FrameLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""体育"")  ] ) ]  ''' ]}","","","",""
"","baidubrowser_14","baidubrowser","百度-AI智能搜索","com.baidu.searchbox/.MainActivity","设置","1","1","","1.5","M","medium","4","设置百度浏览器为夜间模式","{""xpath"": ['''//*[contains(@class, ""FrameLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""夜间模式"") ] ) ] ''']}###{""xpath"": [''' //*[contains(@text, ""日间模式"")  and contains(@resource-id, ""id/obfuscated"")] ''']} ","","TRUE","",""
"","baidubrowser_15","baidubrowser","百度-AI智能搜索","com.baidu.searchbox/.MainActivity","设置","2","2","1","5","H","hard","16","在百度浏览器中添加一个收货地址，姓名是张三，电话是13810069493，地区是北京海淀区清河街道，详细地址是小米科技园","{""xpath"": [  '''//*[contains(@text, ""张三"")] and //*[contains(@text, ""13810069493"")] and //*[contains(@text, ""北京  海淀区  清河街道"")] and //*[contains(@text, ""小米科技园"")] and  //*[contains(@text, ""保存"")  and bbox_contains_point(@bounds,$point) ]  ''' ]}","","TRUE","",""
"","baidubrowser_17","baidubrowser","百度-AI智能搜索","com.baidu.searchbox/.MainActivity","设置","1","1","1","3.5","H","hard","6","在百度浏览器关闭图片自动播放","{""xpath"": [ '''  //*[@checkable=""true"" and @checked=""false"" and (preceding-sibling::*[contains(@text, ""图片自动播放"")  ])]''' ]}###{""xpath"": [''' //*[contains(@text, ""图片自动播放"")  and (bbox_contains_point(../@bounds,$point)or bbox_contains_point(../../@bounds,$point))] ''']}","","TRUE","",""
"","baidubrowser_18","baidubrowser","百度-AI智能搜索","com.baidu.searchbox/.MainActivity","设置","1","1","1","3.5","H","hard","6","在百度浏览器设置应用安装后删除安装包","{""xpath"": [ '''  //*[@checkable=""true"" and @checked=""true""] and  //*[contains(@text, ""应用安装后删除安装包"")] ''' ]}###{""xpath"": [''' //*[contains(@text, ""应用安装后删除安装包"")  and (bbox_contains_point(../@bounds,$point)or bbox_contains_point(../../@bounds,$point))] ''']}","","TRUE","",""
"","rimet_4","rimet","钉钉","com.alibaba.android.rimet/.biz.LaunchHomeActivity","消息","","1","1","3","H","medium","5","在钉钉里将钉钉小秘书设为置顶","{""xpath"": [''' //*[contains(@resource-id, ""id/switch_top"") and @checkable=""true"" and @checked=""true""]''' ]}","Need","TRUE","",""
"","rimet_6","rimet","钉钉","com.alibaba.android.rimet/.biz.LaunchHomeActivity","消息","","1","","1","E","hard","7","去钉钉添加15010284323为我的好友","{""xpath"": [''' //*[contains(@class, ""FrameLayout"" ) and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""发送好友请求"") and contains(@resource-id, ""id/menu_item_entry_tv"") ]) ] and //*[contains(@text, ""倬"") and contains(@resource-id, ""id/tv_nick_multiline"") ] ''' ]}###{""xpath"": ['''//*[contains(@text, ""吴沁倬"") and contains(@resource-id, ""id/tv_nick_multiline"") ] ''']}###{""xpath"": ['''//*[contains(@text, ""倬"") and contains(@resource-id, ""id/tv_nick_multiline"") ] and //*[contains(@text, ""再次发送好友请求"") ]''']}","","TRUE","",""
"874","rimet_14","rimet","钉钉","com.alibaba.android.rimet/.biz.LaunchHomeActivity","我的","","1","1","3","H","hard","5","去钉钉打开个人空间","{""xpath"": ['''//*[contains(@text, ""个人空间"") and contains(@resource-id, ""id/tv_personal_space"")] ''']}","Need","","",""
"","rimet_10","rimet","钉钉","com.alibaba.android.rimet/.biz.LaunchHomeActivity","协作","","1","","1","E","medium","4","查看一下钉钉里最近的文档","{""xpath"": ['''//*[contains(@text, ""文档"") and contains(@resource-id, ""id/tv_tab_name"") and @selected=""true""] ''']}","","","",""
"278","rimet_11","rimet","钉钉","com.alibaba.android.rimet/.biz.LaunchHomeActivity","通讯录","","1","1","3","H","medium","4","帮我查看一下我的钉钉好友动态","{""xpath"": ['''//*[contains(@text, ""动态"") and contains(@resource-id, ""id/circle_actionbar_title"")] ''']}","Need","","",""
"264","seeyou_4","seeyou","美柚","com.lingan.seeyou/.ui.activity.main.SeeyouActivity","记录","1","1","","1.5","M","hard","8","在美柚里面填写我今天的经期症状为腹痛、便秘","{""xpath"": ['''//*[contains(@resource-id, ""symptom_item"") and bbox_contains_point(@bounds,$point) and (self::*[contains(@text, ""腹痛"")] or following-sibling::*[contains(@text, ""腹痛"")]   ) ]''','''//*[contains(@resource-id, ""symptom_item"") and bbox_contains_point(@bounds,$point) and (self::*[contains(@text, ""便秘"")] or following-sibling::*[contains(@text, ""便秘"")]    ) ] ''', ''' //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ]''']}","Need","TRUE","",""
"","seeyou_6","seeyou","美柚","com.lingan.seeyou/.ui.activity.main.SeeyouActivity","记录","","3","","3","H","hard","10","在美柚里面添加我今天的体重为55公斤","{""xpath"": [''' //*[contains(@text, ""体重"") and contains(@resource-id, ""id/title_tv"")] and //*[contains(@text, ""55"") and contains(@resource-id, ""id/dltp_tv_value"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ]''']}","Need","TRUE","",""
"449","seeyou_13","seeyou","美柚","com.lingan.seeyou/.ui.activity.main.SeeyouActivity","我的","","","1","2","M","medium","5","帮我查看美柚健康养生馆的最新发帖","{""xpath"": [ '''//*[contains(@text, ""健康养生馆"") and contains(@resource-id, ""id/tv_name"")] and //*[contains(@text, ""最新发帖"")  and bbox_contains_point(@bounds,$point) ] ''' ]}","","","",""
"","seeyou_15","seeyou","美柚","com.lingan.seeyou/.ui.activity.main.SeeyouActivity","我的","","","1","2","M","medium","5","在美柚上打开我的挂件墙","{""xpath"": ['''//*[contains(@text, ""挂件墙"") ] and //*[contains(@text, ""恢复默认"") ]  ''']}","","","",""
"","seeyou_19","seeyou","美柚","com.lingan.seeyou/.ui.activity.main.SeeyouActivity","我的","1","","","0.5","E","hard","6","在美柚中设置不使用美柚专属字体","{""xpath"": ['''//*[contains(@text, ""字体变更将在重启后生效"") ] ''']}###{""xpath"": ['''//*[contains(@text, ""使用美柚专属字体"") ] ''']}","Need","TRUE","",""
