task_id,task_identifier,task_app,task_app_CHN,adb_home_page,functional_point,difficulty_level,golden_steps,goal,key_nodes,Reset,reset_steps,reset_query,reset_xpath
,neteasemusic_26,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,在网易云音乐中把我的状态设置为许个愿,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""许个愿"") ] ) ]  and //*[contains(@text, ""选择状态"")]  and //*[contains(@text, ""完成"")] ''']}",Need,6,在网易云音乐中把我的状态设置为睡觉中。步骤如下：1. 打开网易云音乐，点击首页底部的“我的”按钮。2.在“我的”页面的顶部，头像图标的上方能看到当前的状态，点击当前的状态，打开状态编辑页面。 3. 在状态列表中可以看到睡觉中，点击睡觉中。 4. 点击完成按钮以关闭状态编辑页面。可以看到状态已经设置好了，页面顶部显示的是“睡觉中”的状态。,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""睡觉中"") ] ) ]  and //*[contains(@text, ""选择状态"")]  and //*[contains(@text, ""完成"")] ''']}###{""xpath"": ['''//*[contains(@text, ""睡觉中"") ]   and  //*[contains(@text, ""音乐"")]  and   //*[contains(@text, ""笔记"") ] and   //*[contains(@text, ""播客"") ]   ''' ]}"
,neteasemusic_28,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,7,打开网易云深色模式,"{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""开启""])]  and  //*[contains(@text, ""播放页常亮"") ] ''' ]}",Need,7,关闭网易云的深色模式。步骤如下：1. 打开网易云音乐，点击首页左上角的三条横线形状的按钮，打开设置菜单。2. 在设置菜单中点击底部的设置按钮，进入设置界面。 3.  在设置界面中点击通用按钮 4. 在通用设置页面里面，观察“深色模式”右侧的滑块，点击滑块让它处于关闭状态。 按照以上步骤关闭网易云的深色模式。,"{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""关闭""])] ''' ]}"
,articlenews_4,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,easy,5,在今日头条上搜一下今天五粮液的股价,"{""xpath"": ['''//*[contains(@text, ""五粮液"") and contains(@text, ""搜索"") and contains(@text, ""股价"")] ''']}",Search,5,清空今日头条的搜索历史，步骤如下：1. 打开今日头条，点击首页顶部的搜索框。2.在搜索页中的搜素历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“是否清空搜索历史”的弹窗中，点击“确定”按钮。   按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@text, ""搜索框"")]  and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
,articlenews_12,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,hard,8,去今日头条更换头像，从默认头像的艺术类中选一个,"{""xpath"": ['''//*[contains(@text,""选择默认头像"")] and //*[contains(@text, ""艺术"")]    and  //*[contains(@text, ""选取"") and bbox_contains_point(@bounds,$point) ] ''' ]} ",Need,8,去今日头条更换头像为默认头像的插画类第1个。步骤如下：1. 打开今日头条，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击用户头像，进入头像编辑页面。3. 点击页面下方的“更换头像”按钮，弹出选项菜单。 4. 可以看到页面底部有几个选项，点击“从默认头像选择”按钮。 5. 在头像列表中，可以看到插画分类下有几个头像，选中第一个牛油果形状的头像。6. 选中头像后，点击页面右下角的选取按钮，完成头像更换。按照以上步骤更换头像。,"{""xpath"": ['''//*[contains(@text,""选择默认头像"")] and //*[contains(@text, ""插画"")]  and  //*[contains(@text, ""选取"") and bbox_contains_point(@bounds,$point) ] ''' ]} "
,articlenews_13,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,hard,8,去今日头条将我的性别设置为女,"{""xpath"": ['''//*[contains(@text, ""性别"")]  and //*[contains(@text, ""女"")] and  //*[contains(@text, ""编辑资料"") and contains(@resource-id, ""id/title"")] ''' ]}  ",Need,8,去今日头条将我的性别设置为男。步骤如下：1. 打开今日头条，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面顶部的编辑按钮，进入编辑界面。3. 如果个人信息页面的性别选项显示为“男”，则任务已完成，无需更改。否则，点击性别选项，打开性别修改弹窗。4.在页面下方的选项中选择“男”。 5. 点击确认键，将性别修改为“男”。按照以上步骤将我的性别设置为男。,"{""xpath"": ['''//*[contains(@text, ""性别"")]  and //*[contains(@text, ""男"")] and  //*[contains(@text, ""编辑资料"") and contains(@resource-id, ""id/title"")] ''' ]}  "
,articlenews_15,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,设置,hard,6,打开今日头条的夜间模式,"{""xpath"": [''' //*[contains(@text, ""日间模式"") and contains(@resource-id, ""id/d95"") ]''']}###{""xpath"": [''' //*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""深色模式"")  ] ) ]   ''']}",Need,6,关闭今日头条的夜间模式。步骤如下：1. 打开今日头条，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状的设置按钮，进入设置界面。3. 点击深色模式选项，打开修改页面。4.在页面中选择浅色模式，完成任务。按照以上步骤关闭今日头条的夜间模式。,"{""xpath"": [''' //*[contains(@text, ""深色模式"")  ] and //*[contains(@text, ""已关闭"")  ]''']}###{""xpath"": [''' //*[contains(@text, ""深色模式"")  ] and //*[contains(@text, ""浅色模式"")  ] ''']}"
,articlenews_16,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,设置,medium,6,去今日头条把自动开启阅读模式关掉,"{""xpath"": ['''//*[contains(@text, ""自动开启阅读模式"")]  and //*[contains(@text, ""关闭"") and contains(@class, ""Switch"")] ''' ]}",Need,6,打开今日头条的自动开启阅读模式。步骤如下：1. 打开今日头条，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状的设置按钮，进入设置界面。3. 如果“自动开启阅读模式”的开关已经是关闭状态，这说明该功能已经关闭，无需更改。否则，打开“自动开启阅读模式”的开关，完成任务。按照以上步骤打开今日头条的自动开启阅读模式。,"{""xpath"": ['''//*[contains(@text, ""自动开启阅读模式"")]  and //*[ (contains(@text, ""打开"") or contains(@text, ""开启"") ) and contains(@class, ""Switch"")] ''' ]}"
,articlenews_19,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,设置,medium,7,去今日头条设置不接受陌生人消息,"{""xpath"": [ '''//*[contains(@text, ""不再接收陌生人消息"")] and //*[contains(@text, ""确定关闭"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""接收陌生人的消息"")] and //*[contains(@text, ""已关闭"")  ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""陌生人消息"")] and //*[contains(@text, ""不接受陌生人的消息"")]  ''' ]} ",Need,7,去今日头条设置接受陌生人消息。步骤如下：1. 打开今日头条，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击消息私信按钮，进入消息私信页面。3. 在消息私信页面，点击右上角的设置按钮，进入设置界面。4. 如果“陌生人消息”的选项显示的是“聚合消息”或“直接展示在聊天列表”，这说明该功能已经打开，无需更改。否则，点击陌生人信息。 5. 在陌生人消息设置页面，打开“接受陌生人的消息”的开关，完成任务。按照以上步骤设置接受陌生人消息。,"{""xpath"": [ '''//*[contains(@text, ""陌生人消息"")] and (//*[contains(@text, ""聚合消息"")] or //*[contains(@text, ""聊天列表"")])  ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""接收陌生人的消息"")] and //*[contains(@text, ""已开启"")]  ''' ]} "
,fanqieread_5,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,搜索,hard,7,"在番茄里面看看明朝那些事儿的书评,并给第一条书评点赞","{""xpath"": [ '''//*[contains(@text, ""明朝那些事儿"") and contains(@text, ""书评"")  and contains(@class, ""EditText"") ]  and //*[contains(@text, ""轻按星星点评此书"") ] and //*[contains(@resource-id, ""id/ewe"") and bbox_contains_point(@bounds,$point) ]  '''  ]}",Need,7,"在番茄里面看看明朝那些事儿的书评,并取消第一条书评的点赞。步骤如下：1. 打开番茄免费小说，点击首页顶部的搜索框。2.在搜索框里输入“明朝那些事儿”，搜索。 3. 在搜索结果中，点击第一个“明朝那些事儿”，进入书籍详情页。 4. 在详情页面中，点击页面右侧的“更多书评”链接。 5. 在书评页面里，如果第一条条书评的爱心标签被标红，说明我给这条书评点过赞，再次点击该标签以取消。如果书评的爱心标签没有被标红，说明我没有给该书评点过赞，任务完成。通过以上步骤取消给明朝那些事儿的第一条书评的点赞","{""xpath"": [ '''//*[contains(@text, ""明朝那些事儿"") and contains(@text, ""书评"")  and contains(@class, ""EditText"") ]  and //*[contains(@text, ""轻按星星点评此书"") ] '''  ]}"
,fanqieread_6,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,搜索,easy,4,通过番茄小说搜索框搜索“阴间神探","{""xpath"": [ '''//*[contains(@text, ""阴间神探"") and contains(@class, ""EditText"") ]'''  ]}",Search,4,去番茄清除搜索历史。步骤如下：1. 打开番茄免费小说，点击首页顶部的搜索框。2.在搜索页中的搜素历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“是否删除所有搜索历史”的弹窗中，点击“删除”按钮。   按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""删除所有搜索历史"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} "
,fanqieread_17,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,书架,hard,7,进入番茄小说的“穿越”圈子并订阅它,"{""xpath"": [  '''//*[contains(@text, ""穿越圈"")] and //*[contains(@text, ""已订阅"")] and //*[contains(@text, ""最热"")]   and //*[contains(@text, ""最新"") ]''' ]}",Need,7,取消对番茄小说的“穿越”圈子的订阅。步骤如下：1.打开番茄免费小说，点击首页顶部的搜索框。2.在搜索框里输入“穿越”，搜索（如果一直处于加载页面，请 wait 等待）。3.在搜索结果中，只看综合的板块，往下滑动页面，寻找符合标签为“来自圈子·穿越”的贴子。4.点击这样的标签，进入穿越圈。 5.在穿越圈的右上角，如果标签显示的是“+订阅”，说明没有订阅这个圈子，任务完成。如果标签显示的是“已订阅”，点击该标签。6.在取消订阅的弹窗中，点击“确定”。通过以上步骤取消对番茄小说的“穿越”圈子的订阅。,"{""xpath"": [  '''//*[contains(@text, ""穿越圈"")] and //*[@text=""已订阅""] and //*[contains(@text, ""最热"")]   and //*[contains(@text, ""最新"") ]''' ]}###{""xpath"": [''' //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ]  and //*[contains(@text, ""取消订阅"") ]  ''']}"
,fanqieread_18,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,我的,hard,8,把番茄的阅读偏好设置成男生小说,"{""xpath"": [ '''//*[contains(@text, ""选择你的兴趣偏好"")] and //*[contains(@text, ""男生小说"")] and //*[contains(@text, ""女生小说"")] and //*[contains(@text, ""我都爱看"") ]''' ]}",Need,8,"把番茄的阅读偏好设置成女生小说。步骤如下：1. 打开番茄免费小说，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 在包含商城、浏览历史、我的消息等功能的工具栏中向右滑动，滑动的起始点是“我的消息”,按住起点按钮往右滑动。 3. 在更多工具栏中点击“阅读偏好”按钮 4.  在“选择你的兴趣爱好”页中，将看书偏好设置成女生小说。 5. 点击页面右上角的“保存”按钮，完成任务。如果按钮变灰也视作任务完成。按照以上步骤把番茄的阅读偏好设置成女生小说。","{""xpath"": [ '''//*[contains(@text, ""选择你的兴趣偏好"")] and //*[contains(@text, ""男生小说"")] and //*[contains(@text, ""女生小说"")] and //*[contains(@text, ""我都爱看"") ]''' ]}"
,fanqieread_25,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,设置,hard,7,番茄切换成大字体,"{""xpath"": [ '''//*[contains(@text, ""字体大小预览"")] and //*[contains(@text, ""大"") and bbox_contains_point(@bounds,$point) ] '''  ]} ",Need,7,把番茄切换成标准字体。步骤如下：1. 打开番茄免费小说，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状的设置图标。3. 在设置界面里点击“字体大小”这个选项。 4. 可以看到界面上有“标准”和“大”两个选项，点击“标准”选项以选中标准字体。5.点击页面右上角的“我知道了”保持当前设置。如果“我知道了”按钮变灰也视作任务完成。 6. 在弹出的“重新启动番茄小说即可生效”弹窗中，点击“我知道了”按钮。完成任务。按照以上步骤把番茄切换成标准字体。,"{""xpath"": [ '''//*[contains(@text, ""字体大小预览"")] and //*[contains(@text, ""标准"")] and //*[contains(@text, ""大"")]  '''  ]} "
,fanqieread_26,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,设置,hard,7,在番茄小说中随便打开一本小说，设置字号为22，翻页方式为上下,"{""xpath"": [ '''//*[contains(@text, ""翻页"")] and //*[contains(@text, ""上下"") and bbox_contains_point(@bounds,$point) ] ''' , '''//*[contains(@text, ""字号"")] and //*[contains(@text, ""22"")   ] ''' ]} ",Need,7,在番茄小说中设置字号为15，翻页方式为仿真。步骤如下，1. 打开番茄免费小说，点击“书城”板块中“小说栏”的第一本小说进入详情页。2. 在小说详情页左滑开始阅读，进入小说正文页。3. 在页面中心点点击，打开页面顶部底部的功能菜单。4. 点击页面右下角的设置按钮。 5. 在设置界面里点击“字体大小”这个选项。 6. 观察当前的字号，如果当前字号小于15，点击A+按钮以增加字号到15；如果当前字号大于15，点击字号选项中的A-按钮以降低字号到15。 6. 在翻页选项中选中仿真。 完成任务。按照以上步骤把番茄小说的字号设置为15，翻页方式为仿真,"{""xpath"": [ '''//*[contains(@text, ""翻页"")] and //*[contains(@text, ""仿真"")  ] ''' , '''//*[contains(@text, ""字号"")] and //*[contains(@text, ""15"") ] ''' ]} "
,pinduoduo_7,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,搜索,hard,6,去拼多多打开婴儿湿巾的店铺首页,"{""xpath"": ['''//*[ contains(@content-desc, ""婴儿"")  and contains(@content-desc, ""湿巾"")  and contains(@resource-id, ""id/tv_title"") ] and  //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") ]  ''' ,   ''' //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") and bbox_contains_point(@bounds,$point) ]   or  //*[(contains(@class, ""ViewGroup"") or contains(@class, ""LinearLayout"")) and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""进店"") or contains(@text, ""进入品牌"") ])] ''' ]}",Search,6,去拼多多清除搜索历史。步骤如下：1. 打开拼多多，点击首页顶部的搜索框。2.在搜索页中的最近搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。3.  在弹出的“确认删除最近搜索记录吗”的弹窗中，点击“删除”按钮。   按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""删除最近搜索记录"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [''' //*[ contains(@class, ""EditText"") ]  and //*[contains(@text, ""搜索发现"")] and not(//*[contains(@text, ""最近搜索"")] ) ''' ]}"
,pinduoduo_16,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,频道,medium,6,收藏拼多多袜子第一款商品,"{""xpath"": ['''//*[ contains(@content-desc, ""袜子"")  and contains(@resource-id, ""id/tv_title"") ] and  //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") ]  ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") and contains(@class, ""LinearLayout"")] )   ''' ]}",Need,6,取消对拼多多第一款袜子的收藏。步骤如下，1. 打开拼多多，，点击首页右下角的“个人中心”按钮，进入个人中心页面。 2. 点击“商品收藏”按钮，进入商品收藏页。3. 点击右上角的管理。 4. 点击1件袜子商品左侧的选中框，选中1件袜子商品。 5. 点击左下角的删除，删除收藏的商品。6. 在弹出的“确认删除”弹窗中，点击“删除”按钮。完成任务。按照以上步骤取消对拼多多第一款袜子的收藏。,"{""xpath"": [ '''//*[contains(@text, ""确认删除"")] and //*[contains(@text, ""商品"")]  and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""商品收藏"")] and //*[contains(@text, ""暂无收藏的商品"")]   ''' ]} "
