"task_id","task_identifier","task_app","task_app_CHN","adb_home_page","功能点","真机/模拟器","level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）","golden_steps","goal","key_nodes","Reset","Unnamed: 15","uitars1.5_apps2025_0917","Unnamed: 17","Unnamed: 19"
"0","bili_10","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","热门","","easy","4","B站的每周必看有哪些","{""xpath"": ['''//*[contains(@text, ""每周必看"")  and contains(@resource-id, ""id/title"")   ]''' ]}","","","bili_10: HardFail","莫名其妙的在删搜索框里面的字符",""
"0","bili_11","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","动画","","easy","4","打开哔哩哔哩的动画频道，看看有哪些少儿动画","{""xpath"": ['''   //*[contains(@text, ""动画"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""少儿"") ] ) ]    ''' ]}","","没进bilibili","bili_11: SR","",""
"517","bili_12","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","动画","","medium","6","我想在哔哩哔哩看一下牧神记第一集","{""xpath"": ['''//*[contains(@content-desc, ""牧神记"") ] and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 1 话"") and contains(@resource-id, ""title"") ] ''']}","Search","搜的不是牧神记，而是牧神记第一集","bili_12: Premature","不是牧神记，要进入牧神记第一集",""
"0","bili_13","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","影视","","medium","6","在B站打开西游记第二集","{""xpath"": ['''(//*[contains(@content-desc, ""西游记"") ] or //*[contains(@text, ""西游记"") ]) and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 2 集"") and contains(@resource-id, ""title"") ] ''']}###{""xpath"": ['''//*[contains(@text, ""西游记"")] and //*[contains(@text, ""第二集"") and contains(@resource-id, ""id/title"") ]  ''']}","Search","","bili_13: SR","",""
"0","bili_14","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","影视","","easy","4","在B站的影视频道中，看看有什么好的纪录片","{""xpath"": ['''   //*[contains(@text, ""影视"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""纪录片"") ] ) ]    ''' ]}","","找不到频道","bili_14: HardFail","没找到频道",""
"0","bili_15","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","频道","","easy","4","打开B站分区，选择游戏频道","{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""游戏"") ]  )   ]  ''']}","","","bili_15: SR","",""
"0","bili_16","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","关注","","easy","4","查看B站我关注的人的动态","{""xpath"": ['''//*[contains(@text, ""关注"")  and contains(@resource-id, ""id/title"")   ]''' ]}###{""xpath"": [''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ] ''', '''//*[contains(@text, ""关注"") and @selected=""true"" ]''' ]}","","","bili_16: SR","",""
"132","bili_17","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","关注","","easy","4","在哔哩哔哩，找到我关注的人的动态，并给里面的动态点赞","{""xpath"": [''' //*[contains(@text, ""关注"")  and contains(@resource-id, ""id/title"")   ] and //*[contains(@resource-id, ""id/dy_card_like"") and bbox_contains_point(@bounds,$point)]''' ]}","Need","","bili_17: Premature","直接搜索关注了",""
"0","bili_18","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","会员购","","medium","6","在B站会员购中搜索哆啦A梦","{""xpath"": ['''//*[contains(@text, ""会员购"")   and contains(@resource-id, ""id/new_title_text"")   ]'''  , '''//*[(contains(@text, ""哆啦A梦"") or contains(@text, ""哆啦a梦""))  and contains(@class, ""EditText"")   ]''' ]}","Search","","bili_18: HardFail","直接搜索了",""
"0","bili_19","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","会员购","","hard","7","B站会员购查看我的待支付订单","{""xpath"": ['''  //*[contains(@text, ""订单信息"") ]  and //*[contains(@text, ""待支付"") and @selected=""true""] ''' ]}","","","bili_19: Premature","没去会员购",""
"0","bili_20","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","会员购","","hard","6","打开B站会员购查看我的优惠券有哪些","{""xpath"": ['''//*[contains(@text, ""我的优惠券"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@text, ""优惠券"")  and contains(@resource-id, ""id/id_assets_name"")] ''' ]}","","","bili_20: HardFail","没去会员购",""
"636","bili_21","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","hard","7","打开哔哩哔哩，帮我更换一个随机头像","{""xpath"": ['''//*[contains(@text, ""更换头像"") and bbox_contains_point(@bounds,$point)] or //*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""头像"")]) and bbox_contains_point(@bounds,$point)]''',  '''//*[contains(@class, ""RelativeLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""随机"") and contains(@resource-id, ""id/menu_text"")])]''']}","","没进入会员购","bili_21: Premature","",""
"0","bili_22","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","打开B站查看我的粉丝","{""xpath"": ['''//*[contains(@text, ""我的好友"")  and contains(@resource-id, ""id/tv_toolbar_title"")   ] and  //*[contains(@text, ""粉丝"")]''' ,  '''//*[(contains(@resource-id, ""fans_layout"")  or contains(@text, ""粉丝"") )  and bbox_contains_point(@bounds,$point) ]''' ]} ###{""xpath"": ['''//*[contains(@text, ""我的好友"")  and contains(@resource-id, ""id/tv_toolbar_title"")   ] ''' ,  ''' //*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@resource-id, ""fans_dec"")  and contains(@text, ""粉丝"")])]  ''' ]} ","","不知道为什么总喜欢点搜索框","bili_22: Premature","",""
"1111","bili_23","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","看一下我最近在哔哩哔哩看什么了？","{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""历史记录"") and contains(@resource-id, ""id/title"")])]''']}","","","bili_23: Premature","",""
"0","bili_24","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","打开B站查看离线缓存","{""xpath"": [''' //*[contains(@text, ""离线缓存"")   and (bbox_contains_point(../@bounds,$point) )] ''']} ","","","bili_24: SR","",""
"0","bili_25","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","我要联系B站客服","{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""联系客服"") and contains(@resource-id, ""id/title"")])]''']}###{""xpath"": ['''//*[contains(@class, ""EditText"")  and contains(@resource-id, ""id/text_input"")] and //*[contains(@text, ""客服"")]  ''' ]}","","","bili_25: Premature","",""
"0","bili_26","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","进入B站的创作中心","{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""创作中心"") and contains(@resource-id, ""id/title"")])]''']}","","","bili_26: Premature","",""
"0","bili_27","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","设置","","hard","9","打开B站私信智能拦截","{""xpath"": ['''//*[contains(@text, ""消息设置"")] and //*[contains(@text, ""消息提醒"")] and //*[contains(@text, ""私信智能拦截"")] ''']}###{""xpath"": ['''//*[contains(@text, ""私信智能拦截"")  and bbox_contains_point(../@bounds,$point)] ''' ]}","Need","","bili_27: Premature","",""
"0","bili_28","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","设置","","hard","11","打开B站定时关闭","{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""定时关闭"") and contains(@resource-id, ""id/title"")])]''' , ''' //*[contains(@text, ""定时关闭"") ]  and //*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])]''' ]} ###{""xpath"": ['''//*[contains(@class, ""LinearLayout"") and (child::*[@checkable=""true"" and @checked=""true""]) and (preceding-sibling::*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])  ])]''' ]} ","Need","","bili_28: Premature","",""
"0","bili_29","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","easy","4","打开B站扫一扫","{""xpath"": ['''//*[contains(@text, ""扫描二维码"")  and contains(@resource-id, ""id/title_qr_code"")   ]''' ]}","","","bili_29: Premature","",""
"","neteasemusic_0","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","easy","4","网易云搜索歌曲《唯一》","{""xpath"": ['''//*[contains(@text, ""唯一"") ] and  //*[contains(@text, ""综合"") ] and //*[contains(@text, ""歌单"") ] and  //*[contains(@text, ""单曲"") ]''' ]}","Search","","neteasemusic_0: SR","",""
"","neteasemusic_1","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","medium","5","网易云搜索邓紫棋的歌单","{""xpath"": ['''//*[contains(@text, ""邓紫棋"") ]   and //*[contains(@text, ""歌单"") ] ''' ]}","Search","","neteasemusic_1: HardFail","",""
"","neteasemusic_2","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","medium","5","网易云播放林俊杰的豆浆油条","{""xpath"": ['''//*[contains(@text, ""豆浆油条"")  and contains(@resource-id, ""id/songName"") ]   and //*[contains(@text, ""林俊杰"")  and contains(@resource-id, ""id/authorName"")] ''' ]}","Search","","neteasemusic_2: SR","",""
"","neteasemusic_3","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","medium","5","网易云播放宝宝巴士的拔萝卜","{""xpath"": ['''//*[contains(@text, ""拔萝卜"")  and contains(@resource-id, ""id/songName"") ]   and //*[contains(@text, ""宝宝巴士"")  and contains(@resource-id, ""id/authorName"")] ''' ]}","Search","","neteasemusic_3: SR","",""
"","neteasemusic_4","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","medium","5","网易云播放我是一个粉刷匠","{""xpath"": ['''//*[contains(@text, ""我是一个粉刷匠"")  and contains(@resource-id, ""id/songName"") ]    ''' ]}","Search","","neteasemusic_4: SR","",""
"","neteasemusic_5","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","hard","6","网易云播放林肯公园的Numb，并查看评论","{""xpath"": ['''//*[contains(@text, ""Numb"")  and contains(@resource-id, ""id/name"") ]   and //*[contains(@text, ""Linkin Park"")  and contains(@resource-id, ""id/author"")]  and //*[contains(@text, ""评论"") ]  ''' ]}###{""xpath"": [  ''' //*[contains(@content-desc, ""评论"") and bbox_contains_point(@bounds,$point) ] ''' ]}","Search","","neteasemusic_5: Premature","",""
"","neteasemusic_6","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","hard","6","网易云播放孤勇者，并展示歌词","{""xpath"": ['''//*[contains(@text, ""孤勇者"")  and contains(@resource-id, ""id/custom_title"") ]   and   //*[contains(@text, ""歌词"") and @selected=""true""] ''' ]}","Search","","neteasemusic_6: Premature","",""
"","neteasemusic_7","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","medium","5","网易云查查包含七里香的歌单有哪些","{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""歌单"") ] ) ]  and //*[contains(@text, ""七里香"") ]  ''']}","Search","","neteasemusic_7: SR","",""
"","neteasemusic_8","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","hard","6","在网易云里找到歌手周杰伦的个人主页并关注他","{""xpath"": ['''//*[contains(@text, ""周杰伦"")  and contains(@resource-id, ""id/nickname"") ]   and //*[contains(@text, ""已关注"")  and contains(@resource-id, ""id/followBtn"")]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""周杰伦"") ]   and //*[contains(@text, ""粉丝"") ] and //*[contains(@text, ""歌曲"") ]   and //*[contains(@text, ""乐迷团"") ]  ''' ]}","Need","","neteasemusic_8: SR","",""
"","neteasemusic_9","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","easy","4","在网易云查看我的历史播放列表","{""xpath"": [''' //*[contains(@text, ""当前播放"") and @selected=""true""]   and   //*[contains(@text, ""历史播放"") and @selected=""true""] ''' ]}###{""xpath"": ['''  //*[contains(@text, ""最近播放"") and @selected=""true""] ''' ]}","","","neteasemusic_9: Premature","",""
"","neteasemusic_10","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","","easy","4","打开网易云推荐扫一扫","{""xpath"": ['''//*[contains(@text, ""我的二维码"")  and contains(@resource-id, ""id/myBarcode"")   ]''' ]}###{""xpath"": ['''//*[contains(@text, ""Scan QR"") ]   and //*[contains(@text, ""ALBUM"") ] ''' ]}","","","neteasemusic_10: Premature","",""
"","neteasemusic_11","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","","easy","4","网易云查看为我推荐的专属博客","{""xpath"": ['''//*[contains(@text, ""播客"") and @selected=""true""]   and   //*[contains(@text, ""推荐的专属播客"") ] ''' ]}","","","neteasemusic_11: Premature","",""
"","neteasemusic_12","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","","easy","4","打开网易云的""网络热歌榜""","{""xpath"": ['''//*[contains(@text, ""网络热歌榜"") and contains(@resource-id, ""id/musicTitle"") ] and //*[contains(@text, ""网易云音乐"") and contains(@resource-id, ""id/musicCreatorName"")] ''' ]}","","","neteasemusic_12: SR","",""
"","neteasemusic_13","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","","medium","5","打开网易云的有声书排行榜","{""xpath"": ['''//*[contains(@text, ""排行榜"")  and bbox_contains_point(../@bounds,$point) ]  and //*[contains(@text, ""听书"") and @selected=""true""]  ''']}###{""xpath"": [''' //*[contains(@text, ""全部"")] and //*[contains(@text, ""总榜"")] and //*[contains(@text, ""广播剧"")]  ''']}","","","neteasemusic_13: SR","",""
"","neteasemusic_14","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","","easy","4","打开网易云频道里的国风频道","{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""国风"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""国风"")  and bbox_contains_point(../@bounds,$point)] ''' ]}","","","neteasemusic_14: SR","",""
"","neteasemusic_15","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","发现","","easy","4","打开网易云发现音乐的精选","{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""精选"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""精选"")  and bbox_contains_point(../@bounds,$point)] ''' ]}","","","neteasemusic_15: SR","",""
"","neteasemusic_16","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","发现","","easy","4","打开网易云发现的歌单","{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""歌单"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""歌单"")  and bbox_contains_point(../@bounds,$point)] ''' ]}","","","neteasemusic_16: Premature","",""
"","neteasemusic_17","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","发现","","hard","8","打开网易云发现博客广播电台","{""xpath"": [''' //*[contains(@text, ""播客"") and @selected=""true""]   and //*[contains(@resource-id, ""id/title"") and contains(@text, ""广播电台"")  and bbox_contains_point(@bounds,$point) ]''' ]}","","","neteasemusic_17: Premature","",""
"","neteasemusic_18","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","发现","","easy","3","打开网易云笔记推荐","{""xpath"": ['''//*[contains(@text, ""笔记"") and @selected=""true""]   and   //*[contains(@text, ""推荐"") and @selected=""true""]   and   //*[contains(@text, ""关注"") and @selected=""false""]  ''' ]}","","","neteasemusic_18: HardFail","",""
"","neteasemusic_19","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","笔记","","hard","7","打开网易云发布笔记“逢考必过”","{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""发布"") ] ) ]  and //*[contains(@text, ""逢考必过"")  and contains(@class, ""EditText"") ]  ''']}","Need","","neteasemusic_19: HardFail","",""
"","neteasemusic_20","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","笔记","","hard","7","打开网易云，删除我之前发布的笔记","{""xpath"": [''' //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ]  and //*[contains(@text, ""删除此动态"") ]  ''']}","Need","","neteasemusic_20: Premature","",""
"","neteasemusic_21","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","hard","6","打开网易云编辑我的资料，设置性别为女","{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and   //*[contains(@text, ""性别"") ]  and   //*[contains(@text, ""女"") ] ''' ]}","Need","","neteasemusic_21: SR","",""
"","neteasemusic_22","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","hard","6","打开网易云编辑我的资料，设置简介为“事已至此，先睡觉吧”","{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and  //*[contains(@text, ""简介"")]  and   //*[contains(@text, ""事已至此，先睡觉吧"") ]   ''' ]}","Need","","neteasemusic_22: SR","",""
"","neteasemusic_23","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","easy","4","打开网易云我喜欢的音乐","{""xpath"": ['''//*[contains(@text, ""我喜欢的音乐"") and contains(@class, ""TextView"") ] and //*[contains(@text, ""播放全部"") and contains(@class, ""TextView"")] ''' ]}","","","neteasemusic_23: SR","",""
"","neteasemusic_24","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","easy","4","打开网易云我的听歌排行","{""xpath"": ['''//*[contains(@text, ""听歌排行"") ]   and   //*[contains(@text, ""最近一周"") ]  and   //*[contains(@text, ""所有时间"") ] ''' ]}","","","neteasemusic_24: HardFail","",""
"","neteasemusic_25","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","easy","4","打开网易云查看我的本地音乐","{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""本地"") ] ) ]   ''']}","","","neteasemusic_25: SR","",""
"","neteasemusic_26","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","hard","6","在网易云音乐中把我的状态设置为许个愿","{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""许个愿"") ] ) ]  and //*[contains(@text, ""选择状态"")]  and //*[contains(@text, ""完成"")] ''']}","Need","","neteasemusic_26: Premature","",""
"","neteasemusic_27","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","hard","6","打开网易云查看提到我的消息","{""xpath"": ['''//*[contains(@resource-id, ""atme"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""提到我"") ] ) ]   ''']}###{""xpath"": [''' //*[contains(@text, ""评论和@提及"") and contains(@resource-id, ""user_name"")   and (bbox_contains_point(../@bounds,$point) )] ''']}","","","neteasemusic_27: HardFail","",""
"","neteasemusic_28","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","hard","7","打开网易云深色模式","{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""开启""])]  and  //*[contains(@text, ""播放页常亮"") ] ''' ]}","Need","","neteasemusic_28: SR","",""
"","neteasemusic_29","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","medium","5","打开网易云音乐的客服","{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""我的客服"") ] ) ]   ''']}","","","neteasemusic_29: Premature","",""
"7","articlenews_0","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","搜索","","easy","5","今日头条上搜一下黄金今日的价格","{""xpath"": ['''//*[contains(@text, ""金"") and contains(@text, ""搜索"") and contains(@text, ""价"")] ''']}","Search","","articlenews_0: SR","",""
"30","articlenews_1","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","搜索","","easy","5","去今日头条看看哪吒现在多少票房了","{""xpath"": ['''//*[contains(@text, ""哪吒"") and contains(@text, ""搜索"") and contains(@text, ""票房"")] ''']}","Search","","articlenews_1: SR","",""
"","articlenews_2","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","搜索","","easy","5","在今日头条上搜一下今天北京的穿衣指数","{""xpath"": ['''//*[contains(@text, ""北京"") and contains(@text, ""搜索"") and contains(@text, ""穿衣指数"")] ''']}","Search","","articlenews_2: SR","",""
"","articlenews_3","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","搜索","","easy","5","去今日头条清空搜索历史","{""xpath"": [ '''//*[contains(@text, ""清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ","Search","","articlenews_3: HardFail","",""
